fips,data
51001,25.1908396947
51003,34.4208809135
51510,37.9262831554
51005,29.8160988845
51007,35.5850422195
51009,75.0427350427
51011,68.3590875644
51013,10.9637939827
51015,22.1488331132
51017,8.90233362143
51019,52.4353577871
51515,None
51021,4.14937759336
51023,10.1077050539
51520,55.1906779661
51025,77.4104683196
51027,32.8478543563
51029,48.3005366726
51530,42.4936386768
51031,67.5906183369
51033,57.6682859126
51035,-8.54776693286
51036,44.2424242424
51037,70.7799767171
51540,40.6075139888
51550,71.2789017341
51041,58.4691708009
51043,51.5988372093
51560,53.9164490862
51570,None
51580,None
51045,37.3821989529
51047,35.198656967
51049,43.2188065099
51590,61.7124787156
51051,17.6660516605
51053,62.096195262
51595,None
51057,58.0924855491
51059,15.8324458644
51600,None
51610,None
51061,42.5095057034
51063,-34.0569877883
51065,41.2195121951
51067,37.5422012154
51620,None
51069,35.690515807
51630,33.0339961514
51640,None
51071,25.2554744526
51073,59.0831918506
51075,64
51077,-1.8696678163
51079,12.5581395349
51081,69.4472361809
51083,80.4404824331
51650,58.5068198134
51085,57.4517825833
51660,18.7652315191
51087,33.1443814605
51089,58.2194799471
51091,-6.71197960918
51670,52.2110162917
51093,69.0936106984
51095,35.3982300885
51097,49.2842535787
51099,51.0263929619
51101,49.5708154506
51103,38.326848249
51105,22.8869616346
51678,None
51107,34.0379235312
51109,21.9877467665
51111,78.7767133382
51680,40.6221685291
51113,3.4379671151
51683,None
51685,None
51690,56.9255404323
51115,25.8235919235
51117,77.2693726937
51119,64.8382559775
51121,6.85066535239
51125,59.2843923504
51127,36.5155131265
51700,61.9543973941
51710,51.1494252874
51131,41.387755102
51133,29.6903460838
51720,None
51135,55.1413108839
51137,46.8803663423
51139,-1.05393676379
51141,48.4194681385
51730,56.810868788
51143,67.1924290221
51735,None
51740,76.4315642458
51145,52.9235382309
51147,56.0084328883
51149,66.1605206074
51153,48.3204134367
51155,37.02677747
51750,31.0743801653
51157,44.6494464945
51159,29.781420765
51760,52.4425344005
51161,21.1778804999
51770,32.2915674131
51163,28.4126984127
51165,-6.42870151156
51167,19.8304104837
51775,None
51169,-9.31085043988
51171,-18.0190731136
51173,6.28019323671
51780,None
51175,75.246949448
51177,36.5217391304
51179,26.8562401264
51790,20.5320994795
51800,67.336523126
51181,69.1516709512
51183,63.5960044395
51185,13.7628111274
51810,58.2942830366
51187,46.3094587206
51191,9.22248401212
51820,None
51193,40.5990016639
51830,37.1962616822
51840,8.20786789704
51195,51.6204477113
51197,5.87133041849
51199,63.2780082988
