fips,data
1001,-50.7549361208
1003,-59.584414447
1005,-5.64648910412
1007,-56.4793311658
1009,-82.7623425944
1011,51.1777301927
1013,-13.6200301379
1015,-42.5596980936
1017,-15.1097086666
1019,-70.5333333333
1021,-67.641173855
1023,-13.8184338184
1025,-10.7921483435
1027,-61.8327676643
1029,-78.7841191067
1031,-57.9916401274
1033,-39.2135672126
1035,-5.23076923077
1037,-30.9703660662
1039,-69.5030024275
1041,-46.1227132912
1043,-79.3514013102
1045,-51.5613852149
1047,37.8362416107
1049,-71.0552603189
1051,-53.1945560884
1053,-36.6574965612
1055,-51.1999065311
1057,-66.2620757989
1059,-62.3253022378
1061,-73.5220071187
1063,65.4504225933
1065,20.1560140916
1067,-42.1504290762
1069,-48.4731349053
1071,-63.8928483657
1073,7.57952414098
1075,-69.7915147981
1077,-47.4148635439
1079,-49.8340248963
1081,-23.9708489265
1083,-50.8602569093
1085,47.2113355442
1087,68.1893964655
1089,-17.5250423389
1091,3.52138643068
1093,-77.4594679679
1095,-71.2035139092
1097,-13.705753667
1099,-14.4465290807
1101,26.8115240155
1103,-53.8202708248
1105,46.2053144714
1107,-15.7403478999
1109,-20.6839752137
1111,-54.1616646659
1113,1.96391505668
1117,-52.1297540548
1115,-69.9838882922
1119,50.0237079184
1121,-25.9447074996
1123,-42.2487312301
1125,-20.0805183368
1127,-68.7306609185
1129,-43.5836501901
1131,42.7067916461
1133,-82.7326732673
