fips,data
1001,33.6844948676
1003,14.8604944362
1005,44.3394896377
1007,41.2293144208
1009,21.7014482837
1011,42.1972946222
1013,31.0083396513
1015,29.0702002531
1017,22.440165557
1019,48.8718411552
1021,16.935746018
1023,45.5635491607
1025,39.3004388882
1027,18.6462599698
1029,15.9163591636
1031,39.993056761
1033,50.2035038046
1035,48.4703433923
1037,34.9444444444
1039,28.0491012714
1041,47.0850022252
1043,22.478327384
1045,26.965523977
1047,31.3502437646
1049,4.85617961409
1051,28.0842340663
1053,42.5858585859
1055,33.2618545291
1057,34.9700149925
1059,11.2716763006
1061,36.7820773931
1063,24.9270286048
1065,49.8550724638
1067,28.7807076854
1069,-4.97187560613
1071,50.3472222222
1073,28.6982401389
1075,56.166854566
1077,47.7123570223
1079,46.9696969697
1081,19.3148257531
1083,45.3897550111
1085,44.6955430006
1087,68.9375893283
1089,37.1313146427
1091,50.1685317514
1093,26.8571428571
1095,29.9298098266
1097,24.7089170769
1099,41.0488742449
1101,22.5007763172
1103,39.3028846154
1105,42.5115800309
1107,37.0385073442
1109,27.4934725849
1111,22.8309741882
1113,22.0459336514
1117,20.4032535227
1115,27.6536312849
1119,41.8339663592
1121,42.9988465975
1123,34.2746649879
1125,38.313514246
1127,34.2746457335
1129,38.5736365644
1131,31.8234610918
1133,-9.13961550583
