fips,X
19001,6.83259951780845
19003,11.98368543344779
19005,2.016513565875719
19007,2.530594107847332
19009,-1.364354674662788
19011,1.537355065595271
19013,-4.891580946059072
19015,3.125737716025847
19017,-0.005133098389521251
19019,-0.09614298104060026
19021,-1.55762314799486
19023,-1.344074399498204
19025,4.297994167903068
19027,-2.688995314662767
19029,-1.555836813629462
19031,-5.279804070893382
19033,-4.02890489319503
19035,2.694139146707682
19037,0.2865855809203959
19039,7.126477733743281
19041,5.988754615054507
19043,2.772430534812591
19045,-4.658182449213482
19047,0.0956240336731895
19049,5.239750655415835
19051,6.200114176765268
19053,4.668007536397508
19055,5.841764635532957
19057,-6.081328751855781
19059,-0.7821695790689098
19061,17.73300800846594
19063,4.110183119281331
19065,8.79183604175935
19067,-3.313734547883811
19069,2.76765762524639
19071,-1.818168945733611
19073,4.470753372551538
19075,0.6790491230026419
19077,3.177365490634653
19079,-0.1810547894633707
19081,-3.439677628065461
19083,-0.9769439476984978
19085,-3.097483826872029
19087,0.3594016196410621
19089,0.907106950149005
19091,8.874594450109601
19093,5.61763944281007
19095,-3.29004429500548
19097,3.278398015240121
19099,-0.002004673021827053
19101,10.32004997579054
19103,2.283450029030529
19105,1.265116087261331
19107,-0.480604565642083
19109,-2.18650287671182
19111,-1.159720672091118
19113,-2.941691616123484
19115,-1.084419971570171
19117,3.041248948148269
19119,-5.629676136660912
19121,4.53831500570127
19123,1.668706595470919
19125,-2.761904761904759
19127,-4.614102964321619
19129,7.186443316707454
19131,1.55693547217631
19133,7.39870233892602
19135,-4.725294399067839
19137,0.7876670403452266
19139,-5.542229430236901
19141,-4.757946732844914
19143,-8.929052381021751
19145,1.748969551372021
19147,-1.375949397019818
19149,7.63910814311479
19151,4.11250883969876
19153,-2.361637898109045
19155,-0.2419132927318586
19157,6.745995814720913
19159,4.525436557784751
19161,7.500881263251298
19163,-5.528992235665336
19165,-2.460321341440221
19167,-4.358816806646182
19169,-1.905032635602077
19171,-1.748224670161787
19173,3.702741920421808
19175,4.107932306782509
19177,6.562388252940892
19179,0.4352615527756121
19181,4.732849032536496
19183,3.185624119770342
19185,-4.875137228865379
19187,0.4898560979026154
19189,-6.140633326454772
19191,-0.2765258361179797
19193,1.622247310020881
19195,12.56247146904789
19197,4.17649875919718
