fips,X
1001,-78.56343134162228
1003,-70.67548866049397
1005,-89.49847303300595
1007,-91.32537950645256
1009,-43.23533036130351
1011,-45.11321254277954
1013,-100.8768602007574
1015,-58.88606028141033
1017,-75.70613039414587
1019,-55.28230082079987
1021,-22.86189772020895
1023,-100.3967565315356
1025,-62.30013040080486
1027,-46.03514079357288
1029,-72.32753083220578
1031,-112.7337962103715
1033,-42.85548189588826
1035,-110.2253051452513
1037,-61.75534163759409
1039,-112.1886065738716
1041,-124.519522647996
1043,-36.25915170083194
1045,-89.7596691246575
1047,-62.67655292481651
1049,-17.59769820219807
1051,-96.00495082526108
1053,-86.46251651178474
1055,-51.47321138153927
1057,-51.26778425330831
1059,-4.138175739368524
1061,-96.74663611022567
1063,-61.85044440222095
1065,-82.93607524310538
1067,-122.4692320392446
1069,-74.16508148775395
1071,-32.92579415120399
1073,-30.38487239540594
1075,-87.51930407010263
1077,-36.28413650178062
1079,-36.51413370794072
1081,-81.46805401169505
1083,-48.00424509474922
1085,-96.2207864832026
1087,3.412099336391613
1089,-38.96501515094535
1091,-71.88786727627244
1093,-42.30446092422144
1095,-44.65849666826961
1097,-51.128374320722
1099,-99.19388830347734
1101,-39.45257660786102
1103,-41.36399325771218
1105,-72.51677604896395
1107,-81.39973426423379
1109,-123.6215465097913
1111,-55.44376092907627
1113,-84.45629041922354
1117,-52.28667124699416
1115,-49.36073986978164
1119,-70.95142104632562
1121,-50.70287039215191
1123,-95.78944018331688
1125,-56.40538565549343
1127,-36.27392838530335
1129,-82.01904895559429
1131,-111.7296273359805
1133,-8.548914471955001
