fips,party,candidatevotes
1001,DEMOCRAT,4758
1001,REPUBLICAN,15196
1001,OTHER,127
1003,DEMOCRAT,15599
1003,REPUBLICAN,52971
1003,OTHER,750
1005,DEMOCRAT,4832
1005,REPUBLICAN,5899
1005,OTHER,46
1007,DEMOCRAT,2089
1007,REPUBLICAN,5472
1007,OTHER,39
1009,DEMOCRAT,3938
1009,REPUBLICAN,17386
1009,OTHER,180
1011,DEMOCRAT,3210
1011,REPUBLICAN,1494
1011,OTHER,13
1013,DEMOCRAT,3413
1013,REPUBLICAN,4979
1013,OTHER,24
1015,DEMOCRAT,15083
1015,REPUBLICAN,29814
1015,OTHER,352
1017,DEMOCRAT,5347
1017,REPUBLICAN,7622
1017,OTHER,63
1019,DEMOCRAT,3040
1019,REPUBLICAN,5923
1019,OTHER,86
1021,DEMOCRAT,3778
1021,REPUBLICAN,12829
1021,OTHER,86
1023,DEMOCRAT,3303
1023,REPUBLICAN,3897
1023,OTHER,27
1025,DEMOCRAT,4627
1025,REPUBLICAN,6730
1025,OTHER,37
1027,DEMOCRAT,1893
1027,REPUBLICAN,4624
1027,OTHER,59
1029,DEMOCRAT,1391
1029,REPUBLICAN,4370
1029,OTHER,37
1031,DEMOCRAT,4480
1031,REPUBLICAN,13019
1031,OTHER,117
1033,DEMOCRAT,10598
1033,REPUBLICAN,13188
1033,OTHER,149
1035,DEMOCRAT,2719
1035,REPUBLICAN,3271
1035,OTHER,31
1037,DEMOCRAT,2055
1037,REPUBLICAN,2905
1037,OTHER,41
1039,DEMOCRAT,3423
1039,REPUBLICAN,11119
1039,OTHER,85
1041,DEMOCRAT,1698
1041,REPUBLICAN,3777
1041,OTHER,25
1043,DEMOCRAT,8045
1043,REPUBLICAN,26818
1043,OTHER,328
1045,DEMOCRAT,4484
1045,REPUBLICAN,13621
1045,OTHER,126
1047,DEMOCRAT,11175
1047,REPUBLICAN,7335
1047,OTHER,63
1049,DEMOCRAT,7092
1049,REPUBLICAN,16904
1049,OTHER,139
1051,DEMOCRAT,6471
1051,REPUBLICAN,22056
1051,OTHER,153
1053,DEMOCRAT,3814
1053,REPUBLICAN,8513
1053,OTHER,68
1055,DEMOCRAT,15328
1055,REPUBLICAN,26999
1055,OTHER,353
1057,DEMOCRAT,2408
1057,REPUBLICAN,5534
1057,OTHER,60
1059,DEMOCRAT,4514
1059,REPUBLICAN,7690
1059,OTHER,65
1061,DEMOCRAT,2113
1061,REPUBLICAN,8342
1061,OTHER,65
1063,DEMOCRAT,3764
1063,REPUBLICAN,958
1063,OTHER,26
1065,DEMOCRAT,4631
1065,REPUBLICAN,3281
1065,OTHER,33
1067,DEMOCRAT,2452
1067,REPUBLICAN,4881
1067,OTHER,28
1069,DEMOCRAT,9144
1069,REPUBLICAN,26874
1069,OTHER,183
1071,DEMOCRAT,8635
1071,REPUBLICAN,11534
1071,OTHER,152
1073,DEMOCRAT,132286
1073,REPUBLICAN,158680
1073,OTHER,2001
1075,DEMOCRAT,1956
1075,REPUBLICAN,4894
1075,OTHER,35
1077,DEMOCRAT,14628
1077,REPUBLICAN,22161
1077,OTHER,318
1079,DEMOCRAT,6155
1079,REPUBLICAN,7730
1079,OTHER,116
1081,DEMOCRAT,16227
1081,REPUBLICAN,27972
1081,OTHER,411
1083,DEMOCRAT,9126
1083,REPUBLICAN,19702
1083,OTHER,245
1085,DEMOCRAT,4233
1085,REPUBLICAN,1786
1085,OTHER,2
1087,DEMOCRAT,7800
1087,REPUBLICAN,1570
1087,OTHER,37
1089,DEMOCRAT,52644
1089,REPUBLICAN,77173
1089,OTHER,1245
1091,DEMOCRAT,5037
1091,REPUBLICAN,5255
1091,OTHER,30
1093,DEMOCRAT,3808
1093,REPUBLICAN,8983
1093,OTHER,84
1095,DEMOCRAT,8452
1095,REPUBLICAN,22783
1095,OTHER,256
1097,DEMOCRAT,63732
1097,REPUBLICAN,92014
1097,OTHER,1025
1099,DEMOCRAT,3666
1099,REPUBLICAN,5831
1099,OTHER,37
1101,DEMOCRAT,45160
1101,REPUBLICAN,44097
1101,OTHER,393
1103,DEMOCRAT,14131
1103,REPUBLICAN,32477
1103,OTHER,399
1105,DEMOCRAT,3767
1105,REPUBLICAN,1738
1105,OTHER,18
1107,DEMOCRAT,3915
1107,REPUBLICAN,5170
1107,OTHER,47
1109,DEMOCRAT,4334
1109,REPUBLICAN,7483
1109,OTHER,66
1111,DEMOCRAT,2817
1111,REPUBLICAN,6127
1111,OTHER,57
1113,DEMOCRAT,8375
1113,REPUBLICAN,8337
1113,OTHER,97
1115,DEMOCRAT,5456
1115,REPUBLICAN,23500
1115,OTHER,205
1117,DEMOCRAT,14850
1117,REPUBLICAN,63435
1117,OTHER,621
1119,DEMOCRAT,4527
1119,REPUBLICAN,1880
1119,OTHER,26
1121,DEMOCRAT,11374
1121,REPUBLICAN,18331
1121,OTHER,193
1123,DEMOCRAT,5451
1123,REPUBLICAN,12392
1123,OTHER,109
1125,DEMOCRAT,26447
1125,REPUBLICAN,42877
1125,OTHER,506
1127,DEMOCRAT,9016
1127,REPUBLICAN,19167
1127,OTHER,184
1129,DEMOCRAT,3145
1129,REPUBLICAN,5060
1129,OTHER,42
