fips,candidate,party,candidatevotes,mode
1067,BARACK OBAMA,DEMOCRAT,3018,TOTAL
1067,JOHN MCCAIN,REPUBLICAN,5585,TOTAL
1067,OTHER,OTHER,45,TOTAL
1069,BARACK OBAMA,DEMOCRAT,12225,TOTAL
1069,JOHN MCCAIN,REPUBLICAN,29254,TOTAL
1069,OTHER,OTHER,256,TOTAL
1071,BARACK OBAMA,DEMOCRAT,6374,TOTAL
1071,JOHN MCCAIN,REPUBLICAN,14083,TOTAL
1071,OTHER,OTHER,417,TOTAL
1073,BARACK OBAMA,DEMOCRAT,166121,TOTAL
1073,JOHN MCCAIN,REPUBLICAN,149921,TOTAL
1073,OTHER,OTHER,2482,TOTAL
1075,BARACK OBAMA,DEMOCRAT,1614,TOTAL
1075,JOHN MCCAIN,REPUBLICAN,5419,TOTAL
1075,OTHER,OTHER,42,TOTAL
1077,BARACK OBAMA,DEMOCRAT,13329,TOTAL
1077,JOHN MCCAIN,REPUBLICAN,24068,TOTAL
1077,OTHER,OTHER,707,TOTAL
1079,BARACK OBAMA,DEMOCRAT,5164,TOTAL
1079,JOHN MCCAIN,REPUBLICAN,9277,TOTAL
1079,OTHER,OTHER,239,TOTAL
1081,BARACK OBAMA,DEMOCRAT,21498,TOTAL
1081,JOHN MCCAIN,REPUBLICAN,32230,TOTAL
1081,OTHER,OTHER,597,TOTAL
1083,BARACK OBAMA,DEMOCRAT,9536,TOTAL
1083,JOHN MCCAIN,REPUBLICAN,23598,TOTAL
1083,OTHER,OTHER,417,TOTAL
1085,BARACK OBAMA,DEMOCRAT,5449,TOTAL
1085,JOHN MCCAIN,REPUBLICAN,1809,TOTAL
1085,OTHER,OTHER,20,TOTAL
1087,BARACK OBAMA,DEMOCRAT,9450,TOTAL
1087,JOHN MCCAIN,REPUBLICAN,1396,TOTAL
1087,OTHER,OTHER,31,TOTAL
1089,BARACK OBAMA,DEMOCRAT,64117,TOTAL
1089,JOHN MCCAIN,REPUBLICAN,86965,TOTAL
1089,OTHER,OTHER,1817,TOTAL
1091,BARACK OBAMA,DEMOCRAT,5926,TOTAL
1091,JOHN MCCAIN,REPUBLICAN,5516,TOTAL
1091,OTHER,OTHER,29,TOTAL
1093,BARACK OBAMA,DEMOCRAT,2600,TOTAL
1093,JOHN MCCAIN,REPUBLICAN,9536,TOTAL
1093,OTHER,OTHER,219,TOTAL
1095,BARACK OBAMA,DEMOCRAT,7038,TOTAL
1095,JOHN MCCAIN,REPUBLICAN,25727,TOTAL
1095,OTHER,OTHER,401,TOTAL
1097,BARACK OBAMA,DEMOCRAT,82181,TOTAL
1097,JOHN MCCAIN,REPUBLICAN,98049,TOTAL
1097,OTHER,OTHER,1194,TOTAL
1099,BARACK OBAMA,DEMOCRAT,5025,TOTAL
1099,JOHN MCCAIN,REPUBLICAN,6175,TOTAL
1099,OTHER,OTHER,52,TOTAL
1101,BARACK OBAMA,DEMOCRAT,62166,TOTAL
1101,JOHN MCCAIN,REPUBLICAN,42031,TOTAL
1101,OTHER,OTHER,546,TOTAL
1103,BARACK OBAMA,DEMOCRAT,13895,TOTAL
1103,JOHN MCCAIN,REPUBLICAN,36014,TOTAL
1103,OTHER,OTHER,633,TOTAL
1105,BARACK OBAMA,DEMOCRAT,4457,TOTAL
1105,JOHN MCCAIN,REPUBLICAN,1679,TOTAL
1105,OTHER,OTHER,23,TOTAL
1107,BARACK OBAMA,DEMOCRAT,4594,TOTAL
1107,JOHN MCCAIN,REPUBLICAN,5434,TOTAL
1107,OTHER,OTHER,39,TOTAL
1109,BARACK OBAMA,DEMOCRAT,5879,TOTAL
1109,JOHN MCCAIN,REPUBLICAN,8004,TOTAL
1109,OTHER,OTHER,72,TOTAL
1111,BARACK OBAMA,DEMOCRAT,3064,TOTAL
1111,JOHN MCCAIN,REPUBLICAN,7175,TOTAL
1111,OTHER,OTHER,145,TOTAL
1113,BARACK OBAMA,DEMOCRAT,10085,TOTAL
1113,JOHN MCCAIN,REPUBLICAN,8705,TOTAL
1113,OTHER,OTHER,125,TOTAL
1115,BARACK OBAMA,DEMOCRAT,6091,TOTAL
1115,JOHN MCCAIN,REPUBLICAN,27649,TOTAL
1115,OTHER,OTHER,348,TOTAL
1117,BARACK OBAMA,DEMOCRAT,20625,TOTAL
1117,JOHN MCCAIN,REPUBLICAN,69060,TOTAL
1117,OTHER,OTHER,958,TOTAL
1119,BARACK OBAMA,DEMOCRAT,5264,TOTAL
1119,JOHN MCCAIN,REPUBLICAN,1731,TOTAL
1119,OTHER,OTHER,25,TOTAL
1121,BARACK OBAMA,DEMOCRAT,13779,TOTAL
1121,JOHN MCCAIN,REPUBLICAN,20112,TOTAL
1121,OTHER,OTHER,313,TOTAL
1123,BARACK OBAMA,DEMOCRAT,6063,TOTAL
1123,JOHN MCCAIN,REPUBLICAN,13116,TOTAL
1123,OTHER,OTHER,132,TOTAL
1125,BARACK OBAMA,DEMOCRAT,32796,TOTAL
1125,JOHN MCCAIN,REPUBLICAN,45405,TOTAL
1125,OTHER,OTHER,711,TOTAL
1127,BARACK OBAMA,DEMOCRAT,7420,TOTAL
1127,JOHN MCCAIN,REPUBLICAN,20722,TOTAL
1127,OTHER,OTHER,510,TOTAL
1129,BARACK OBAMA,DEMOCRAT,3067,TOTAL
1129,JOHN MCCAIN,REPUBLICAN,5654,TOTAL
1129,OTHER,OTHER,54,TOTAL
1131,BARACK OBAMA,DEMOCRAT,4612,TOTAL
1131,JOHN MCCAIN,REPUBLICAN,1868,TOTAL
1131,OTHER,OTHER,14,TOTAL
1133,BARACK OBAMA,DEMOCRAT,1757,TOTAL
1133,JOHN MCCAIN,REPUBLICAN,8103,TOTAL
1133,OTHER,OTHER,171,TOTAL
4001,BARACK OBAMA,DEMOCRAT,15390,TOTAL
4001,JOHN MCCAIN,REPUBLICAN,8551,TOTAL
4001,OTHER,OTHER,321,TOTAL
4003,BARACK OBAMA,DEMOCRAT,18943,TOTAL
4003,JOHN MCCAIN,REPUBLICAN,29026,TOTAL
4003,OTHER,OTHER,851,TOTAL
4005,BARACK OBAMA,DEMOCRAT,31433,TOTAL
4005,JOHN MCCAIN,REPUBLICAN,22186,TOTAL
4005,OTHER,OTHER,725,TOTAL
4007,BARACK OBAMA,DEMOCRAT,7884,TOTAL
4007,JOHN MCCAIN,REPUBLICAN,14095,TOTAL
4007,OTHER,OTHER,354,TOTAL
4009,BARACK OBAMA,DEMOCRAT,3487,TOTAL
4009,JOHN MCCAIN,REPUBLICAN,8376,TOTAL
4009,OTHER,OTHER,144,TOTAL
4011,BARACK OBAMA,DEMOCRAT,1165,TOTAL
4011,JOHN MCCAIN,REPUBLICAN,1712,TOTAL
