fips,candidate,party,candidatevotes,mode
17099,JOHN MCCAIN,REPUBLICAN,21872,TOTAL
17099,OTHER,OTHER,870,TOTAL
17101,BARACK OBAMA,DEMOCRAT,3016,TOTAL
17101,JOHN MCCAIN,REPUBLICAN,3403,TOTAL
17101,OTHER,OTHER,117,TOTAL
17103,BARACK OBAMA,DEMOCRAT,7765,TOTAL
17103,JOHN MCCAIN,REPUBLICAN,8258,TOTAL
17103,OTHER,OTHER,295,TOTAL
17105,BARACK OBAMA,DEMOCRAT,6189,TOTAL
17105,JOHN MCCAIN,REPUBLICAN,9191,TOTAL
17105,OTHER,OTHER,245,TOTAL
17107,BARACK OBAMA,DEMOCRAT,5250,TOTAL
17107,JOHN MCCAIN,REPUBLICAN,7429,TOTAL
17107,OTHER,OTHER,217,TOTAL
17109,BARACK OBAMA,DEMOCRAT,6783,TOTAL
17109,JOHN MCCAIN,REPUBLICAN,6055,TOTAL
17109,OTHER,OTHER,204,TOTAL
17111,BARACK OBAMA,DEMOCRAT,72288,TOTAL
17111,JOHN MCCAIN,REPUBLICAN,64845,TOTAL
17111,OTHER,OTHER,2135,TOTAL
17113,BARACK OBAMA,DEMOCRAT,37689,TOTAL
17113,JOHN MCCAIN,REPUBLICAN,36767,TOTAL
17113,OTHER,OTHER,1294,TOTAL
17115,BARACK OBAMA,DEMOCRAT,25487,TOTAL
17115,JOHN MCCAIN,REPUBLICAN,24948,TOTAL
17115,OTHER,OTHER,781,TOTAL
17117,BARACK OBAMA,DEMOCRAT,12090,TOTAL
17117,JOHN MCCAIN,REPUBLICAN,9891,TOTAL
17117,OTHER,OTHER,392,TOTAL
17119,BARACK OBAMA,DEMOCRAT,68979,TOTAL
17119,JOHN MCCAIN,REPUBLICAN,57177,TOTAL
17119,OTHER,OTHER,2178,TOTAL
17121,BARACK OBAMA,DEMOCRAT,8345,TOTAL
17121,JOHN MCCAIN,REPUBLICAN,8691,TOTAL
17121,OTHER,OTHER,328,TOTAL
17123,BARACK OBAMA,DEMOCRAT,3081,TOTAL
17123,JOHN MCCAIN,REPUBLICAN,3145,TOTAL
17123,OTHER,OTHER,107,TOTAL
17125,BARACK OBAMA,DEMOCRAT,3542,TOTAL
17125,JOHN MCCAIN,REPUBLICAN,3141,TOTAL
17125,OTHER,OTHER,125,TOTAL
17127,BARACK OBAMA,DEMOCRAT,2693,TOTAL
17127,JOHN MCCAIN,REPUBLICAN,4371,TOTAL
17127,OTHER,OTHER,122,TOTAL
17129,BARACK OBAMA,DEMOCRAT,2706,TOTAL
17129,JOHN MCCAIN,REPUBLICAN,3672,TOTAL
17129,OTHER,OTHER,86,TOTAL
17131,BARACK OBAMA,DEMOCRAT,4887,TOTAL
17131,JOHN MCCAIN,REPUBLICAN,3833,TOTAL
17131,OTHER,OTHER,128,TOTAL
17133,BARACK OBAMA,DEMOCRAT,7953,TOTAL
17133,JOHN MCCAIN,REPUBLICAN,9881,TOTAL
17133,OTHER,OTHER,249,TOTAL
17135,BARACK OBAMA,DEMOCRAT,6491,TOTAL
17135,JOHN MCCAIN,REPUBLICAN,6150,TOTAL
17135,OTHER,OTHER,230,TOTAL
17137,BARACK OBAMA,DEMOCRAT,7467,TOTAL
17137,JOHN MCCAIN,REPUBLICAN,7591,TOTAL
17137,OTHER,OTHER,295,TOTAL
17139,BARACK OBAMA,DEMOCRAT,2668,TOTAL
17139,JOHN MCCAIN,REPUBLICAN,3471,TOTAL
17139,OTHER,OTHER,121,TOTAL
17141,BARACK OBAMA,DEMOCRAT,11253,TOTAL
17141,JOHN MCCAIN,REPUBLICAN,13144,TOTAL
17141,OTHER,OTHER,453,TOTAL
17143,BARACK OBAMA,DEMOCRAT,45906,TOTAL
17143,JOHN MCCAIN,REPUBLICAN,34579,TOTAL
17143,OTHER,OTHER,1219,TOTAL
17145,BARACK OBAMA,DEMOCRAT,4701,TOTAL
17145,JOHN MCCAIN,REPUBLICAN,5086,TOTAL
17145,OTHER,OTHER,208,TOTAL
17147,BARACK OBAMA,DEMOCRAT,3859,TOTAL
17147,JOHN MCCAIN,REPUBLICAN,4991,TOTAL
17147,OTHER,OTHER,149,TOTAL
17149,BARACK OBAMA,DEMOCRAT,3024,TOTAL
17149,JOHN MCCAIN,REPUBLICAN,4457,TOTAL
17149,OTHER,OTHER,135,TOTAL
17151,BARACK OBAMA,DEMOCRAT,845,TOTAL
17151,JOHN MCCAIN,REPUBLICAN,1343,TOTAL
17151,OTHER,OTHER,43,TOTAL
17153,BARACK OBAMA,DEMOCRAT,1638,TOTAL
17153,JOHN MCCAIN,REPUBLICAN,1593,TOTAL
17153,OTHER,OTHER,39,TOTAL
17155,BARACK OBAMA,DEMOCRAT,1900,TOTAL
17155,JOHN MCCAIN,REPUBLICAN,1378,TOTAL
17155,OTHER,OTHER,59,TOTAL
17157,BARACK OBAMA,DEMOCRAT,7395,TOTAL
17157,JOHN MCCAIN,REPUBLICAN,7538,TOTAL
17157,OTHER,OTHER,269,TOTAL
17159,BARACK OBAMA,DEMOCRAT,3181,TOTAL
17159,JOHN MCCAIN,REPUBLICAN,4329,TOTAL
17159,OTHER,OTHER,140,TOTAL
17161,BARACK OBAMA,DEMOCRAT,42210,TOTAL
17161,JOHN MCCAIN,REPUBLICAN,25364,TOTAL
17161,OTHER,OTHER,827,TOTAL
17163,BARACK OBAMA,DEMOCRAT,76160,TOTAL
17163,JOHN MCCAIN,REPUBLICAN,47958,TOTAL
17163,OTHER,OTHER,1626,TOTAL
17165,BARACK OBAMA,DEMOCRAT,5083,TOTAL
17165,JOHN MCCAIN,REPUBLICAN,6099,TOTAL
17165,OTHER,OTHER,246,TOTAL
17167,BARACK OBAMA,DEMOCRAT,51300,TOTAL
17167,JOHN MCCAIN,REPUBLICAN,46945,TOTAL
17167,OTHER,OTHER,1583,TOTAL
17169,BARACK OBAMA,DEMOCRAT,1900,TOTAL
17169,JOHN MCCAIN,REPUBLICAN,1833,TOTAL
17169,OTHER,OTHER,90,TOTAL
17171,BARACK OBAMA,DEMOCRAT,1090,TOTAL
17171,JOHN MCCAIN,REPUBLICAN,1455,TOTAL
17171,OTHER,OTHER,55,TOTAL
17173,BARACK OBAMA,DEMOCRAT,4245,TOTAL
17173,JOHN MCCAIN,REPUBLICAN,6396,TOTAL
17173,OTHER,OTHER,227,TOTAL
17175,BARACK OBAMA,DEMOCRAT,1357,TOTAL
17175,JOHN MCCAIN,REPUBLICAN,1513,TOTAL
17175,OTHER,OTHER,37,TOTAL
17177,BARACK OBAMA,DEMOCRAT,11349,TOTAL
17177,JOHN MCCAIN,REPUBLICAN,9909,TOTAL
17177,OTHER,OTHER,347,TOTAL
17179,BARACK OBAMA,DEMOCRAT,29384,TOTAL
17179,JOHN MCCAIN,REPUBLICAN,33247,TOTAL
17179,OTHER,OTHER,1223,TOTAL
17181,BARACK OBAMA,DEMOCRAT,3918,TOTAL
17181,JOHN MCCAIN,REPUBLICAN,5003,TOTAL
17181,OTHER,OTHER,195,TOTAL
17183,BARACK OBAMA,DEMOCRAT,16246,TOTAL
17183,JOHN MCCAIN,REPUBLICAN,16054,TOTAL
17183,OTHER,OTHER,572,TOTAL
17185,BARACK OBAMA,DEMOCRAT,2462,TOTAL
17185,JOHN MCCAIN,REPUBLICAN,3254,TOTAL
17185,OTHER,OTHER,66,TOTAL
17187,BARACK OBAMA,DEMOCRAT,4286,TOTAL
17187,JOHN MCCAIN,REPUBLICAN,3637,TOTAL
17187,OTHER,OTHER,106,TOTAL
17189,BARACK OBAMA,DEMOCRAT,3342,TOTAL
17189,JOHN MCCAIN,REPUBLICAN,4473,TOTAL
17189,OTHER,OTHER,117,TOTAL
17191,BARACK OBAMA,DEMOCRAT,2547,TOTAL
17191,JOHN MCCAIN,REPUBLICAN,5390,TOTAL
17191,OTHER,OTHER,134,TOTAL
17193,BARACK OBAMA,DEMOCRAT,3315,TOTAL
17193,JOHN MCCAIN,REPUBLICAN,3987,TOTAL
17193,OTHER,OTHER,151,TOTAL
17195,BARACK OBAMA,DEMOCRAT,15607,TOTAL
17195,JOHN MCCAIN,REPUBLICAN,10883,TOTAL
17195,OTHER,OTHER,416,TOTAL
17197,BARACK OBAMA,DEMOCRAT,160406,TOTAL
17197,JOHN MCCAIN,REPUBLICAN,122597,TOTAL
17197,OTHER,OTHER,3417,TOTAL
17199,BARACK OBAMA,DEMOCRAT,12914,TOTAL
17199,JOHN MCCAIN,REPUBLICAN,17387,TOTAL
17199,OTHER,OTHER,520,TOTAL
17201,BARACK OBAMA,DEMOCRAT,70034,TOTAL
17201,JOHN MCCAIN,REPUBLICAN,53886,TOTAL
17201,OTHER,OTHER,2111,TOTAL
17203,BARACK OBAMA,DEMOCRAT,6999,TOTAL
17203,JOHN MCCAIN,REPUBLICAN,12191,TOTAL
17203,OTHER,OTHER,293,TOTAL
18001,BARACK OBAMA,DEMOCRAT,4928,TOTAL
18001,JOHN MCCAIN,REPUBLICAN,8404,TOTAL
18001,OTHER,OTHER,181,TOTAL
18003,BARACK OBAMA,DEMOCRAT,71263,TOTAL
18003,JOHN MCCAIN,REPUBLICAN,77793,TOTAL
18003,OTHER,OTHER,1268,TOTAL
18005,BARACK OBAMA,DEMOCRAT,13567,TOTAL
18005,JOHN MCCAIN,REPUBLICAN,17067,TOTAL
18005,OTHER,OTHER,409,TOTAL
18007,BARACK OBAMA,DEMOCRAT,1563,TOTAL
18007,JOHN MCCAIN,REPUBLICAN,2183,TOTAL
18007,OTHER,OTHER,68,TOTAL
18009,BARACK OBAMA,DEMOCRAT,2677,TOTAL
18009,JOHN MCCAIN,REPUBLICAN,2690,TOTAL
18009,OTHER,OTHER,74,TOTAL
18011,BARACK OBAMA,DEMOCRAT,9752,TOTAL
18011,JOHN MCCAIN,REPUBLICAN,16622,TOTAL
18011,OTHER,OTHER,273,TOTAL
18013,BARACK OBAMA,DEMOCRAT,3854,TOTAL
18013,JOHN MCCAIN,REPUBLICAN,4060,TOTAL
18013,OTHER,OTHER,141,TOTAL
18015,BARACK OBAMA,DEMOCRAT,3736,TOTAL
18015,JOHN MCCAIN,REPUBLICAN,4858,TOTAL
18015,OTHER,OTHER,142,TOTAL
18017,BARACK OBAMA,DEMOCRAT,7011,TOTAL
18017,JOHN MCCAIN,REPUBLICAN,8346,TOTAL
18017,OTHER,OTHER,296,TOTAL
18019,BARACK OBAMA,DEMOCRAT,21953,TOTAL
18019,JOHN MCCAIN,REPUBLICAN,25326,TOTAL
18019,OTHER,OTHER,446,TOTAL
18021,BARACK OBAMA,DEMOCRAT,4954,TOTAL
18021,JOHN MCCAIN,REPUBLICAN,6267,TOTAL
18021,OTHER,OTHER,174,TOTAL
18023,BARACK OBAMA,DEMOCRAT,5307,TOTAL
18023,JOHN MCCAIN,REPUBLICAN,6919,TOTAL
18023,OTHER,OTHER,166,TOTAL
18025,BARACK OBAMA,DEMOCRAT,2286,TOTAL
18025,JOHN MCCAIN,REPUBLICAN,2393,TOTAL
18025,OTHER,OTHER,65,TOTAL
18027,BARACK OBAMA,DEMOCRAT,3370,TOTAL
18027,JOHN MCCAIN,REPUBLICAN,7098,TOTAL
18027,OTHER,OTHER,118,TOTAL
18029,BARACK OBAMA,DEMOCRAT,7123,TOTAL
18029,JOHN MCCAIN,REPUBLICAN,14886,TOTAL
18029,OTHER,OTHER,208,TOTAL
18031,BARACK OBAMA,DEMOCRAT,3892,TOTAL
18031,JOHN MCCAIN,REPUBLICAN,6449,TOTAL
18031,OTHER,OTHER,147,TOTAL
18033,BARACK OBAMA,DEMOCRAT,7175,TOTAL
18033,JOHN MCCAIN,REPUBLICAN,9780,TOTAL
18033,OTHER,OTHER,194,TOTAL
18035,BARACK OBAMA,DEMOCRAT,28384,TOTAL
18035,JOHN MCCAIN,REPUBLICAN,20916,TOTAL
18035,OTHER,OTHER,563,TOTAL
18037,BARACK OBAMA,DEMOCRAT,8748,TOTAL
18037,JOHN MCCAIN,REPUBLICAN,9526,TOTAL
18037,OTHER,OTHER,291,TOTAL
18039,BARACK OBAMA,DEMOCRAT,31398,TOTAL
18039,JOHN MCCAIN,REPUBLICAN,39396,TOTAL
18039,OTHER,OTHER,664,TOTAL
18041,BARACK OBAMA,DEMOCRAT,4389,TOTAL
18041,JOHN MCCAIN,REPUBLICAN,4917,TOTAL
18041,OTHER,OTHER,156,TOTAL
18043,BARACK OBAMA,DEMOCRAT,16263,TOTAL
18043,JOHN MCCAIN,REPUBLICAN,19957,TOTAL
18043,OTHER,OTHER,317,TOTAL
18045,BARACK OBAMA,DEMOCRAT,3094,TOTAL
18045,JOHN MCCAIN,REPUBLICAN,4158,TOTAL
18045,OTHER,OTHER,158,TOTAL
18047,BARACK OBAMA,DEMOCRAT,3404,TOTAL
18047,JOHN MCCAIN,REPUBLICAN,7018,TOTAL
18047,OTHER,OTHER,188,TOTAL
18049,BARACK OBAMA,DEMOCRAT,3702,TOTAL
18049,JOHN MCCAIN,REPUBLICAN,5147,TOTAL
18049,OTHER,OTHER,157,TOTAL
18051,BARACK OBAMA,DEMOCRAT,6455,TOTAL
18051,JOHN MCCAIN,REPUBLICAN,8449,TOTAL
18051,OTHER,OTHER,191,TOTAL
18053,BARACK OBAMA,DEMOCRAT,11293,TOTAL
18053,JOHN MCCAIN,REPUBLICAN,14734,TOTAL
18053,OTHER,OTHER,272,TOTAL
18055,BARACK OBAMA,DEMOCRAT,5709,TOTAL
18055,JOHN MCCAIN,REPUBLICAN,7691,TOTAL
18055,OTHER,OTHER,229,TOTAL
18057,BARACK OBAMA,DEMOCRAT,49704,TOTAL
18057,JOHN MCCAIN,REPUBLICAN,78401,TOTAL
18057,OTHER,OTHER,959,TOTAL
18059,BARACK OBAMA,DEMOCRAT,11874,TOTAL
18059,JOHN MCCAIN,REPUBLICAN,22008,TOTAL
18059,OTHER,OTHER,371,TOTAL
18061,BARACK OBAMA,DEMOCRAT,7288,TOTAL
18061,JOHN MCCAIN,REPUBLICAN,10551,TOTAL
18061,OTHER,OTHER,252,TOTAL
18063,BARACK OBAMA,DEMOCRAT,24548,TOTAL
18063,JOHN MCCAIN,REPUBLICAN,39728,TOTAL
18063,OTHER,OTHER,679,TOTAL
18065,BARACK OBAMA,DEMOCRAT,10059,TOTAL
18065,JOHN MCCAIN,REPUBLICAN,10896,TOTAL
18065,OTHER,OTHER,364,TOTAL
18067,BARACK OBAMA,DEMOCRAT,17871,TOTAL
18067,JOHN MCCAIN,REPUBLICAN,20248,TOTAL
18067,OTHER,OTHER,505,TOTAL
18069,BARACK OBAMA,DEMOCRAT,5843,TOTAL
18069,JOHN MCCAIN,REPUBLICAN,10291,TOTAL
18069,OTHER,OTHER,194,TOTAL
18071,BARACK OBAMA,DEMOCRAT,7354,TOTAL
18071,JOHN MCCAIN,REPUBLICAN,9726,TOTAL
18071,OTHER,OTHER,294,TOTAL
18073,BARACK OBAMA,DEMOCRAT,5044,TOTAL
18073,JOHN MCCAIN,REPUBLICAN,7669,TOTAL
18073,OTHER,OTHER,162,TOTAL
18075,BARACK OBAMA,DEMOCRAT,3748,TOTAL
18075,JOHN MCCAIN,REPUBLICAN,4401,TOTAL
18075,OTHER,OTHER,166,TOTAL
18077,BARACK OBAMA,DEMOCRAT,6255,TOTAL
18077,JOHN MCCAIN,REPUBLICAN,7053,TOTAL
18077,OTHER,OTHER,182,TOTAL
18079,BARACK OBAMA,DEMOCRAT,5312,TOTAL
18079,JOHN MCCAIN,REPUBLICAN,6261,TOTAL
18079,OTHER,OTHER,266,TOTAL
18081,BARACK OBAMA,DEMOCRAT,21553,TOTAL
18081,JOHN MCCAIN,REPUBLICAN,36487,TOTAL
18081,OTHER,OTHER,604,TOTAL
18083,BARACK OBAMA,DEMOCRAT,7569,TOTAL
18083,JOHN MCCAIN,REPUBLICAN,8639,TOTAL
18083,OTHER,OTHER,216,TOTAL
18085,BARACK OBAMA,DEMOCRAT,9236,TOTAL
18085,JOHN MCCAIN,REPUBLICAN,20488,TOTAL
18085,OTHER,OTHER,410,TOTAL
18087,BARACK OBAMA,DEMOCRAT,3663,TOTAL
18087,JOHN MCCAIN,REPUBLICAN,5702,TOTAL
18087,OTHER,OTHER,126,TOTAL
18089,BARACK OBAMA,DEMOCRAT,139301,TOTAL
18089,JOHN MCCAIN,REPUBLICAN,67742,TOTAL
18089,OTHER,OTHER,1714,TOTAL
18091,BARACK OBAMA,DEMOCRAT,28258,TOTAL
18091,JOHN MCCAIN,REPUBLICAN,17918,TOTAL
18091,OTHER,OTHER,743,TOTAL
18093,BARACK OBAMA,DEMOCRAT,7208,TOTAL
18093,JOHN MCCAIN,REPUBLICAN,11018,TOTAL
18093,OTHER,OTHER,308,TOTAL
18095,BARACK OBAMA,DEMOCRAT,30152,TOTAL
18095,JOHN MCCAIN,REPUBLICAN,26403,TOTAL
18095,OTHER,OTHER,785,TOTAL
18097,BARACK OBAMA,DEMOCRAT,241987,TOTAL
18097,JOHN MCCAIN,REPUBLICAN,134313,TOTAL
18097,OTHER,OTHER,3062,TOTAL
18099,BARACK OBAMA,DEMOCRAT,7889,TOTAL
18099,JOHN MCCAIN,REPUBLICAN,10406,TOTAL
18099,OTHER,OTHER,255,TOTAL
18101,BARACK OBAMA,DEMOCRAT,1706,TOTAL
18101,JOHN MCCAIN,REPUBLICAN,3122,TOTAL
18101,OTHER,OTHER,75,TOTAL
18103,BARACK OBAMA,DEMOCRAT,5564,TOTAL
18103,JOHN MCCAIN,REPUBLICAN,8312,TOTAL
18103,OTHER,OTHER,237,TOTAL
18105,BARACK OBAMA,DEMOCRAT,41450,TOTAL
18105,JOHN MCCAIN,REPUBLICAN,21118,TOTAL
18105,OTHER,OTHER,647,TOTAL
18107,BARACK OBAMA,DEMOCRAT,6013,TOTAL
18107,JOHN MCCAIN,REPUBLICAN,9060,TOTAL
18107,OTHER,OTHER,212,TOTAL
18109,BARACK OBAMA,DEMOCRAT,10330,TOTAL
18109,JOHN MCCAIN,REPUBLICAN,18129,TOTAL
18109,OTHER,OTHER,352,TOTAL
18111,BARACK OBAMA,DEMOCRAT,2625,TOTAL
18111,JOHN MCCAIN,REPUBLICAN,3301,TOTAL
18111,OTHER,OTHER,119,TOTAL
18113,BARACK OBAMA,DEMOCRAT,7064,TOTAL
18113,JOHN MCCAIN,REPUBLICAN,9673,TOTAL
18113,OTHER,OTHER,237,TOTAL
18115,BARACK OBAMA,DEMOCRAT,1158,TOTAL
18115,JOHN MCCAIN,REPUBLICAN,1713,TOTAL
18115,OTHER,OTHER,47,TOTAL
18117,BARACK OBAMA,DEMOCRAT,3390,TOTAL
18117,JOHN MCCAIN,REPUBLICAN,4536,TOTAL
18117,OTHER,OTHER,160,TOTAL
18119,BARACK OBAMA,DEMOCRAT,3570,TOTAL
18119,JOHN MCCAIN,REPUBLICAN,4415,TOTAL
18119,OTHER,OTHER,185,TOTAL
18121,BARACK OBAMA,DEMOCRAT,2924,TOTAL
18121,JOHN MCCAIN,REPUBLICAN,3909,TOTAL
18121,OTHER,OTHER,131,TOTAL
18123,BARACK OBAMA,DEMOCRAT,5141,TOTAL
18123,JOHN MCCAIN,REPUBLICAN,3202,TOTAL
18123,OTHER,OTHER,147,TOTAL
18125,BARACK OBAMA,DEMOCRAT,2700,TOTAL
18125,JOHN MCCAIN,REPUBLICAN,3221,TOTAL
18125,OTHER,OTHER,107,TOTAL
18127,BARACK OBAMA,DEMOCRAT,39178,TOTAL
18127,JOHN MCCAIN,REPUBLICAN,33857,TOTAL
18127,OTHER,OTHER,881,TOTAL
18129,BARACK OBAMA,DEMOCRAT,5828,TOTAL
18129,JOHN MCCAIN,REPUBLICAN,6804,TOTAL
18129,OTHER,OTHER,139,TOTAL
18131,BARACK OBAMA,DEMOCRAT,2466,TOTAL
18131,JOHN MCCAIN,REPUBLICAN,3388,TOTAL
18131,OTHER,OTHER,110,TOTAL
18133,BARACK OBAMA,DEMOCRAT,6334,TOTAL
18133,JOHN MCCAIN,REPUBLICAN,8086,TOTAL
18133,OTHER,OTHER,226,TOTAL
18135,BARACK OBAMA,DEMOCRAT,4839,TOTAL
18135,JOHN MCCAIN,REPUBLICAN,5788,TOTAL
18135,OTHER,OTHER,181,TOTAL
18137,BARACK OBAMA,DEMOCRAT,4187,TOTAL
18137,JOHN MCCAIN,REPUBLICAN,7794,TOTAL
18137,OTHER,OTHER,207,TOTAL
18139,BARACK OBAMA,DEMOCRAT,3229,TOTAL
18139,JOHN MCCAIN,REPUBLICAN,4271,TOTAL
18139,OTHER,OTHER,129,TOTAL
18141,BARACK OBAMA,DEMOCRAT,68710,TOTAL
18141,JOHN MCCAIN,REPUBLICAN,48510,TOTAL
18141,OTHER,OTHER,1169,TOTAL
18143,BARACK OBAMA,DEMOCRAT,4271,TOTAL
18143,JOHN MCCAIN,REPUBLICAN,4445,TOTAL
18143,OTHER,OTHER,161,TOTAL
18145,BARACK OBAMA,DEMOCRAT,6987,TOTAL
18145,JOHN MCCAIN,REPUBLICAN,10333,TOTAL
18145,OTHER,OTHER,254,TOTAL
18147,BARACK OBAMA,DEMOCRAT,5039,TOTAL
18147,JOHN MCCAIN,REPUBLICAN,5001,TOTAL
18147,OTHER,OTHER,141,TOTAL
18149,BARACK OBAMA,DEMOCRAT,4778,TOTAL
18149,JOHN MCCAIN,REPUBLICAN,4473,TOTAL
18149,OTHER,OTHER,215,TOTAL
18151,BARACK OBAMA,DEMOCRAT,6284,TOTAL
18151,JOHN MCCAIN,REPUBLICAN,7674,TOTAL
18151,OTHER,OTHER,188,TOTAL
18153,BARACK OBAMA,DEMOCRAT,4284,TOTAL
18153,JOHN MCCAIN,REPUBLICAN,4343,TOTAL
18153,OTHER,OTHER,155,TOTAL
18155,BARACK OBAMA,DEMOCRAT,1638,TOTAL
18155,JOHN MCCAIN,REPUBLICAN,1940,TOTAL
18155,OTHER,OTHER,62,TOTAL
18157,BARACK OBAMA,DEMOCRAT,37781,TOTAL
18157,JOHN MCCAIN,REPUBLICAN,29822,TOTAL
18157,OTHER,OTHER,833,TOTAL
18159,BARACK OBAMA,DEMOCRAT,3250,TOTAL
18159,JOHN MCCAIN,REPUBLICAN,4452,TOTAL
18159,OTHER,OTHER,125,TOTAL
18161,BARACK OBAMA,DEMOCRAT,1224,TOTAL
18161,JOHN MCCAIN,REPUBLICAN,2061,TOTAL
18161,OTHER,OTHER,63,TOTAL
18163,BARACK OBAMA,DEMOCRAT,39423,TOTAL
18163,JOHN MCCAIN,REPUBLICAN,37512,TOTAL
18163,OTHER,OTHER,721,TOTAL
18165,BARACK OBAMA,DEMOCRAT,4003,TOTAL
18165,JOHN MCCAIN,REPUBLICAN,3010,TOTAL
18165,OTHER,OTHER,122,TOTAL
18167,BARACK OBAMA,DEMOCRAT,25040,TOTAL
18167,JOHN MCCAIN,REPUBLICAN,18121,TOTAL
18167,OTHER,OTHER,545,TOTAL
18169,BARACK OBAMA,DEMOCRAT,5456,TOTAL
18169,JOHN MCCAIN,REPUBLICAN,8238,TOTAL
18169,OTHER,OTHER,177,TOTAL
18171,BARACK OBAMA,DEMOCRAT,1755,TOTAL
18171,JOHN MCCAIN,REPUBLICAN,2166,TOTAL
18171,OTHER,OTHER,77,TOTAL
18173,BARACK OBAMA,DEMOCRAT,12329,TOTAL
18173,JOHN MCCAIN,REPUBLICAN,16013,TOTAL
18173,OTHER,OTHER,323,TOTAL
18175,BARACK OBAMA,DEMOCRAT,4562,TOTAL
18175,JOHN MCCAIN,REPUBLICAN,6519,TOTAL
18175,OTHER,OTHER,224,TOTAL
18177,BARACK OBAMA,DEMOCRAT,13459,TOTAL
18177,JOHN MCCAIN,REPUBLICAN,14558,TOTAL
18177,OTHER,OTHER,545,TOTAL
18179,BARACK OBAMA,DEMOCRAT,4403,TOTAL
18179,JOHN MCCAIN,REPUBLICAN,8504,TOTAL
18179,OTHER,OTHER,166,TOTAL
18181,BARACK OBAMA,DEMOCRAT,4839,TOTAL
18181,JOHN MCCAIN,REPUBLICAN,5731,TOTAL
18181,OTHER,OTHER,197,TOTAL
18183,BARACK OBAMA,DEMOCRAT,5862,TOTAL
18183,JOHN MCCAIN,REPUBLICAN,9124,TOTAL
18183,OTHER,OTHER,202,TOTAL
19001,BARACK OBAMA,DEMOCRAT,1924,TOTAL
19001,JOHN MCCAIN,REPUBLICAN,2060,TOTAL
19001,OTHER,OTHER,69,TOTAL
19003,BARACK OBAMA,DEMOCRAT,1118,TOTAL
19003,JOHN MCCAIN,REPUBLICAN,1046,TOTAL
19003,OTHER,OTHER,42,TOTAL
19005,BARACK OBAMA,DEMOCRAT,3971,TOTAL
19005,JOHN MCCAIN,REPUBLICAN,2965,TOTAL
19005,OTHER,OTHER,123,TOTAL
19007,BARACK OBAMA,DEMOCRAT,2970,TOTAL
19007,JOHN MCCAIN,REPUBLICAN,3086,TOTAL
19007,OTHER,OTHER,120,TOTAL
19009,BARACK OBAMA,DEMOCRAT,1739,TOTAL
19009,JOHN MCCAIN,REPUBLICAN,1634,TOTAL
19009,OTHER,OTHER,62,TOTAL
19011,BARACK OBAMA,DEMOCRAT,7058,TOTAL
19011,JOHN MCCAIN,REPUBLICAN,6447,TOTAL
19011,OTHER,OTHER,207,TOTAL
19013,BARACK OBAMA,DEMOCRAT,39184,TOTAL
19013,JOHN MCCAIN,REPUBLICAN,24662,TOTAL
19013,OTHER,OTHER,929,TOTAL
19015,BARACK OBAMA,DEMOCRAT,7356,TOTAL
19015,JOHN MCCAIN,REPUBLICAN,6293,TOTAL
19015,OTHER,OTHER,280,TOTAL
19017,BARACK OBAMA,DEMOCRAT,6940,TOTAL
19017,JOHN MCCAIN,REPUBLICAN,5741,TOTAL
19017,OTHER,OTHER,190,TOTAL
19019,BARACK OBAMA,DEMOCRAT,6050,TOTAL
19019,JOHN MCCAIN,REPUBLICAN,4139,TOTAL
19019,OTHER,OTHER,149,TOTAL
19021,BARACK OBAMA,DEMOCRAT,4075,TOTAL
19021,JOHN MCCAIN,REPUBLICAN,4223,TOTAL
19021,OTHER,OTHER,120,TOTAL
19023,BARACK OBAMA,DEMOCRAT,3364,TOTAL
19023,JOHN MCCAIN,REPUBLICAN,3700,TOTAL
19023,OTHER,OTHER,102,TOTAL
19025,BARACK OBAMA,DEMOCRAT,2341,TOTAL
19025,JOHN MCCAIN,REPUBLICAN,2741,TOTAL
19025,OTHER,OTHER,113,TOTAL
19027,BARACK OBAMA,DEMOCRAT,5302,TOTAL
19027,JOHN MCCAIN,REPUBLICAN,4922,TOTAL
19027,OTHER,OTHER,163,TOTAL
19029,BARACK OBAMA,DEMOCRAT,3211,TOTAL
19029,JOHN MCCAIN,REPUBLICAN,4006,TOTAL
19029,OTHER,OTHER,133,TOTAL
19031,BARACK OBAMA,DEMOCRAT,5221,TOTAL
19031,JOHN MCCAIN,REPUBLICAN,4289,TOTAL
19031,OTHER,OTHER,155,TOTAL
19033,BARACK OBAMA,DEMOCRAT,14405,TOTAL
19033,JOHN MCCAIN,REPUBLICAN,9375,TOTAL
19033,OTHER,OTHER,360,TOTAL
19035,BARACK OBAMA,DEMOCRAT,2890,TOTAL
19035,JOHN MCCAIN,REPUBLICAN,3372,TOTAL
19035,OTHER,OTHER,103,TOTAL
19037,BARACK OBAMA,DEMOCRAT,3923,TOTAL
19037,JOHN MCCAIN,REPUBLICAN,2557,TOTAL
19037,OTHER,OTHER,103,TOTAL
19039,BARACK OBAMA,DEMOCRAT,2218,TOTAL
19039,JOHN MCCAIN,REPUBLICAN,2118,TOTAL
19039,OTHER,OTHER,107,TOTAL
19041,BARACK OBAMA,DEMOCRAT,3925,TOTAL
19041,JOHN MCCAIN,REPUBLICAN,4355,TOTAL
19041,OTHER,OTHER,118,TOTAL
19043,BARACK OBAMA,DEMOCRAT,5195,TOTAL
