fips,party,candidatevotes
1001,DEMOCRAT,5936
1001,REPUBLICAN,18172
1001,OTHER,865
1003,DEMOCRAT,18458
1003,REPUBLICAN,72883
1003,OTHER,3874
1005,DEMOCRAT,4871
1005,REPUBLICAN,5454
1005,OTHER,144
1007,DEMOCRAT,1874
1007,REPUBLICAN,6738
1007,OTHER,207
1009,DEMOCRAT,2156
1009,REPUBLICAN,22859
1009,OTHER,573
1011,DEMOCRAT,3530
1011,REPUBLICAN,1140
1011,OTHER,40
1013,DEMOCRAT,3726
1013,REPUBLICAN,4901
1013,OTHER,105
1015,DEMOCRAT,13242
1015,REPUBLICAN,32865
1015,OTHER,1757
1017,DEMOCRAT,5784
1017,REPUBLICAN,7843
1017,OTHER,273
1019,DEMOCRAT,1547
1019,REPUBLICAN,8953
1019,OTHER,233
1021,DEMOCRAT,2911
1021,REPUBLICAN,15081
1021,OTHER,377
1023,DEMOCRAT,3109
1023,REPUBLICAN,4106
1023,OTHER,77
1025,DEMOCRAT,5749
1025,REPUBLICAN,7140
1025,OTHER,142
1027,DEMOCRAT,1237
1027,REPUBLICAN,5245
1027,OTHER,142
1029,DEMOCRAT,684
1029,REPUBLICAN,5764
1029,OTHER,145
1031,DEMOCRAT,4221
1031,REPUBLICAN,15875
1031,OTHER,671
1033,DEMOCRAT,7312
1033,REPUBLICAN,16746
1033,OTHER,857
1035,DEMOCRAT,3080
1035,REPUBLICAN,3420
1035,OTHER,85
1037,DEMOCRAT,1782
1037,REPUBLICAN,3381
1037,OTHER,89
1039,DEMOCRAT,2387
1039,REPUBLICAN,13267
1039,OTHER,286
1041,DEMOCRAT,1664
1041,REPUBLICAN,4513
1041,OTHER,90
1043,DEMOCRAT,3798
1043,REPUBLICAN,32989
1043,OTHER,1086
1045,DEMOCRAT,4413
1045,REPUBLICAN,13808
1045,OTHER,528
1047,DEMOCRAT,12836
1047,REPUBLICAN,5789
1047,OTHER,167
1049,DEMOCRAT,3622
1049,REPUBLICAN,21405
1049,OTHER,799
1051,DEMOCRAT,8443
1051,REPUBLICAN,27634
1051,OTHER,1183
1053,DEMOCRAT,4605
1053,REPUBLICAN,9935
1053,OTHER,305
1055,DEMOCRAT,10442
1055,REPUBLICAN,32353
1055,OTHER,1369
1057,DEMOCRAT,1362
1057,REPUBLICAN,6712
1057,OTHER,175
1059,DEMOCRAT,2197
1059,REPUBLICAN,9466
1059,OTHER,377
1061,DEMOCRAT,1525
1061,REPUBLICAN,9994
1061,OTHER,239
1063,DEMOCRAT,4013
1063,REPUBLICAN,838
1063,OTHER,29
1065,DEMOCRAT,4775
1065,REPUBLICAN,3173
1065,OTHER,92
1067,DEMOCRAT,2292
1067,REPUBLICAN,5632
1067,OTHER,148
1069,DEMOCRAT,10664
1069,REPUBLICAN,30728
1069,OTHER,1247
1071,DEMOCRAT,3673
1071,REPUBLICAN,16672
1071,OTHER,639
1073,DEMOCRAT,156873
1073,REPUBLICAN,134768
1073,OTHER,12550
1075,DEMOCRAT,1036
1075,REPUBLICAN,5823
1075,OTHER,107
1077,DEMOCRAT,9952
1077,REPUBLICAN,27899
1077,OTHER,1674
1079,DEMOCRAT,3627
1079,REPUBLICAN,10833
1079,OTHER,369
1081,DEMOCRAT,21230
1081,REPUBLICAN,34617
1081,OTHER,3344
1083,DEMOCRAT,9468
1083,REPUBLICAN,29067
1083,OTHER,1759
1085,DEMOCRAT,4883
1085,REPUBLICAN,1751
1085,OTHER,50
1087,DEMOCRAT,7566
1087,REPUBLICAN,1431
1087,OTHER,143
1089,DEMOCRAT,62822
1089,REPUBLICAN,89520
1089,OTHER,11047
1091,DEMOCRAT,5615
1091,REPUBLICAN,5233
1091,OTHER,146
1093,DEMOCRAT,1432
1093,REPUBLICAN,11274
1093,OTHER,278
1095,DEMOCRAT,4917
1095,REPUBLICAN,29233
1095,OTHER,1166
1097,DEMOCRAT,72186
1097,REPUBLICAN,95116
1097,OTHER,5435
1099,DEMOCRAT,4332
1099,REPUBLICAN,5795
1099,OTHER,144
1101,DEMOCRAT,58916
1101,REPUBLICAN,34003
1101,OTHER,2959
1103,DEMOCRAT,11254
1103,REPUBLICAN,37486
1103,OTHER,1904
1105,DEMOCRAT,3824
1105,REPUBLICAN,1407
1105,OTHER,47
1107,DEMOCRAT,3972
1107,REPUBLICAN,5456
1107,OTHER,114
1109,DEMOCRAT,5056
1109,REPUBLICAN,7693
1109,OTHER,419
1111,DEMOCRAT,2291
1111,REPUBLICAN,7705
1111,OTHER,191
1113,DEMOCRAT,9579
1113,REPUBLICAN,9210
1113,OTHER,467
1115,DEMOCRAT,5589
1115,REPUBLICAN,31651
1115,OTHER,1160
1117,DEMOCRAT,22977
1117,REPUBLICAN,73020
1117,OTHER,5257
1119,DEMOCRAT,4746
1119,REPUBLICAN,1581
1119,OTHER,84
1121,DEMOCRAT,12121
1121,REPUBLICAN,20614
1121,OTHER,672
1123,DEMOCRAT,5519
1123,REPUBLICAN,13594
1123,OTHER,373
1125,DEMOCRAT,31762
1125,REPUBLICAN,47723
1125,OTHER,3215
1127,DEMOCRAT,4497
1127,REPUBLICAN,24266
1127,OTHER,709
1129,DEMOCRAT,2374
1129,REPUBLICAN,6042
1129,OTHER,117
1131,DEMOCRAT,4339
1131,REPUBLICAN,1737
1131,OTHER,42
1133,DEMOCRAT,872
1133,REPUBLICAN,9228
1133,OTHER,213
4001,DEMOCRAT,17083
4001,REPUBLICAN,8240
4001,OTHER,2338
4003,DEMOCRAT,17450
4003,REPUBLICAN,28092
4003,OTHER,4473
4005,DEMOCRAT,32404
4005,REPUBLICAN,21108
4005,OTHER,6272
4007,DEMOCRAT,7003
4007,REPUBLICAN,14182
4007,OTHER,1127
4009,DEMOCRAT,3301
4009,REPUBLICAN,8025
4009,OTHER,808
4011,DEMOCRAT,1092
4011,REPUBLICAN,1892
4011,OTHER,286
4012,DEMOCRAT,1575
4012,REPUBLICAN,4003
4012,OTHER,373
4013,DEMOCRAT,702907
4013,REPUBLICAN,747361
4013,OTHER,117566
4015,DEMOCRAT,17455
4015,REPUBLICAN,58282
4015,OTHER,4206
4017,DEMOCRAT,16459
4017,REPUBLICAN,20577
4017,OTHER,3258
4019,DEMOCRAT,224661
4019,REPUBLICAN,167428
4019,OTHER,29551
4021,DEMOCRAT,47892
4021,REPUBLICAN,72819
4021,OTHER,8835
4023,DEMOCRAT,11690
4023,REPUBLICAN,3897
4023,OTHER,846
4025,DEMOCRAT,35590
4025,REPUBLICAN,71330
4025,OTHER,7530
4027,DEMOCRAT,24605
4027,REPUBLICAN,25165
4027,OTHER,3240
5001,DEMOCRAT,1939
5001,REPUBLICAN,3826
5001,OTHER,447
5003,DEMOCRAT,2408
5003,REPUBLICAN,5338
5003,OTHER,337
5005,DEMOCRAT,4169
5005,REPUBLICAN,14682
5005,OTHER,915
5007,DEMOCRAT,28005
5007,REPUBLICAN,60871
5007,OTHER,7948
5009,DEMOCRAT,2926
5009,REPUBLICAN,12235
5009,OTHER,950
5011,DEMOCRAT,1317
5011,REPUBLICAN,2164
5011,OTHER,172
5013,DEMOCRAT,639
5013,REPUBLICAN,1556
5013,OTHER,74
5015,DEMOCRAT,3342
5015,REPUBLICAN,6786
5015,OTHER,630
5017,DEMOCRAT,2350
5017,REPUBLICAN,1716
5017,OTHER,110
5019,DEMOCRAT,3620
5019,REPUBLICAN,4404
5019,OTHER,502
5021,DEMOCRAT,1199
5021,REPUBLICAN,3781
5021,OTHER,220
5023,DEMOCRAT,2101
5023,REPUBLICAN,9458
5023,OTHER,526
5025,DEMOCRAT,723
5025,REPUBLICAN,2462
5025,OTHER,169
5027,DEMOCRAT,3140
5027,REPUBLICAN,5456
5027,OTHER,291
5029,DEMOCRAT,2656
5029,REPUBLICAN,4849
5029,OTHER,422
5031,DEMOCRAT,10538
5031,REPUBLICAN,22892
5031,OTHER,2143
5033,DEMOCRAT,4488
5033,REPUBLICAN,16686
5033,OTHER,1276
5035,DEMOCRAT,8410
5035,REPUBLICAN,6964
5035,OTHER,578
5037,DEMOCRAT,1999
5037,REPUBLICAN,4584
5037,OTHER,291
5039,DEMOCRAT,1165
5039,REPUBLICAN,1509
5039,OTHER,97
5041,DEMOCRAT,2228
5041,REPUBLICAN,1919
5041,OTHER,110
5043,DEMOCRAT,2365
5043,REPUBLICAN,3968
5043,OTHER,262
5045,DEMOCRAT,14629
5045,REPUBLICAN,29346
5045,OTHER,3552
5047,DEMOCRAT,1376
5047,REPUBLICAN,5039
5047,OTHER,355
5049,DEMOCRAT,1067
5049,REPUBLICAN,3471
5049,OTHER,234
5051,DEMOCRAT,12311
5051,REPUBLICAN,26087
5051,OTHER,2407
5053,DEMOCRAT,1373
5053,REPUBLICAN,5725
5053,OTHER,347
5055,DEMOCRAT,3071
5055,REPUBLICAN,10720
5055,OTHER,809
5057,DEMOCRAT,2377
5057,REPUBLICAN,4401
5057,OTHER,271
5059,DEMOCRAT,3149
5059,REPUBLICAN,8172
5059,OTHER,623
5061,DEMOCRAT,1351
5061,REPUBLICAN,3157
5061,OTHER,166
5063,DEMOCRAT,2881
5063,REPUBLICAN,9936
5063,OTHER,797
5065,DEMOCRAT,1113
5065,REPUBLICAN,4042
5065,OTHER,293
5067,DEMOCRAT,1583
5067,REPUBLICAN,3267
5067,OTHER,306
5069,DEMOCRAT,15772
5069,REPUBLICAN,9250
5069,OTHER,872
5071,DEMOCRAT,2427
5071,REPUBLICAN,6091
5071,OTHER,594
5073,DEMOCRAT,1032
5073,REPUBLICAN,1758
5073,OTHER,70
5075,DEMOCRAT,1263
5075,REPUBLICAN,4064
5075,OTHER,358
5077,DEMOCRAT,1735
5077,REPUBLICAN,1229
5077,OTHER,62
5079,DEMOCRAT,1252
5079,REPUBLICAN,2455
5079,OTHER,119
5081,DEMOCRAT,1397
5081,REPUBLICAN,3605
5081,OTHER,225
5083,DEMOCRAT,1715
5083,REPUBLICAN,5746
5083,OTHER,460
5085,DEMOCRAT,5664
5085,REPUBLICAN,19958
5085,OTHER,1478
5087,DEMOCRAT,1588
5087,REPUBLICAN,4928
5087,OTHER,325
5089,DEMOCRAT,1434
5089,REPUBLICAN,5336
5089,OTHER,337
5091,DEMOCRAT,4273
5091,REPUBLICAN,11294
5091,OTHER,524
5093,DEMOCRAT,5670
5093,REPUBLICAN,7061
5093,OTHER,473
5095,DEMOCRAT,1312
5095,REPUBLICAN,1489
5095,OTHER,83
5097,DEMOCRAT,748
5097,REPUBLICAN,2643
5097,OTHER,168
5099,DEMOCRAT,1157
5099,REPUBLICAN,2000
5099,OTHER,89
5101,DEMOCRAT,699
5101,REPUBLICAN,2875
5101,OTHER,179
5103,DEMOCRAT,4321
5103,REPUBLICAN,5351
5103,OTHER,263
5105,DEMOCRAT,1049
5105,REPUBLICAN,3008
5105,OTHER,249
5107,DEMOCRAT,4310
5107,REPUBLICAN,2446
5107,OTHER,197
5109,DEMOCRAT,685
5109,REPUBLICAN,3150
5109,OTHER,146
5111,DEMOCRAT,1880
5111,REPUBLICAN,5502
5111,OTHER,340
5113,DEMOCRAT,1212
5113,REPUBLICAN,6618
5113,OTHER,401
5115,DEMOCRAT,5000
5115,REPUBLICAN,16256
5115,OTHER,1313
5117,DEMOCRAT,814
5117,REPUBLICAN,2505
5117,OTHER,125
5119,DEMOCRAT,89574
5119,REPUBLICAN,61257
5119,OTHER,8945
5121,DEMOCRAT,1425
5121,REPUBLICAN,4509
5121,OTHER,445
5123,DEMOCRAT,4031
5123,REPUBLICAN,3195
5123,OTHER,204
5125,DEMOCRAT,13256
5125,REPUBLICAN,35863
5125,OTHER,2981
5127,DEMOCRAT,602
5127,REPUBLICAN,2731
5127,OTHER,177
5129,DEMOCRAT,601
5129,REPUBLICAN,2955
5129,OTHER,172
5131,DEMOCRAT,12300
5131,REPUBLICAN,29127
5131,OTHER,3210
5133,DEMOCRAT,1075
5133,REPUBLICAN,3282
5133,OTHER,205
5135,DEMOCRAT,1472
5135,REPUBLICAN,5407
5135,OTHER,370
5137,DEMOCRAT,1203
5137,REPUBLICAN,4113
5137,OTHER,302
5139,DEMOCRAT,5855
5139,REPUBLICAN,10456
5139,OTHER,583
5141,DEMOCRAT,1549
5141,REPUBLICAN,5382
5141,OTHER,408
5143,DEMOCRAT,33366
5143,REPUBLICAN,41476
5143,OTHER,7019
5145,DEMOCRAT,5170
5145,REPUBLICAN,21077
5145,OTHER,972
5147,DEMOCRAT,1118
5147,REPUBLICAN,1347
5147,OTHER,106
5149,DEMOCRAT,1480
5149,REPUBLICAN,4608
5149,OTHER,351
6001,DEMOCRAT,514842
6001,REPUBLICAN,95922
6001,OTHER,43502
6003,DEMOCRAT,334
6003,REPUBLICAN,217
6003,OTHER,51
6005,DEMOCRAT,6004
6005,REPUBLICAN,10485
6005,OTHER,1245
6007,DEMOCRAT,41567
6007,REPUBLICAN,45144
6007,OTHER,8853
6009,DEMOCRAT,7944
6009,REPUBLICAN,13511
6009,OTHER,1681
6011,DEMOCRAT,2661
6011,REPUBLICAN,3551
6011,OTHER,420
6013,DEMOCRAT,319287
6013,REPUBLICAN,115956
6013,OTHER,30932
6015,DEMOCRAT,3485
6015,REPUBLICAN,5134
6015,OTHER,939
6017,DEMOCRAT,36404
6017,REPUBLICAN,49247
6017,OTHER,7940
6019,DEMOCRAT,141341
6019,REPUBLICAN,124049
6019,OTHER,16929
6021,DEMOCRAT,3065
6021,REPUBLICAN,5788
6021,OTHER,617
6023,DEMOCRAT,33200
6023,REPUBLICAN,18373
6023,OTHER,7673
6025,DEMOCRAT,32667
6025,REPUBLICAN,12704
6025,OTHER,2720
6027,DEMOCRAT,3155
6027,REPUBLICAN,4248
6027,OTHER,683
6029,DEMOCRAT,98689
6029,REPUBLICAN,129584
6029,OTHER,15890
6031,DEMOCRAT,13617
6031,REPUBLICAN,18093
6031,OTHER,2205
6033,DEMOCRAT,11496
6033,REPUBLICAN,10599
6033,OTHER,2401
6035,DEMOCRAT,2224
6035,REPUBLICAN,7574
6035,OTHER,726
6037,DEMOCRAT,2464364
6037,REPUBLICAN,769743
6037,OTHER,200201
6039,DEMOCRAT,17029
6039,REPUBLICAN,23357
6039,OTHER,2726
6041,DEMOCRAT,108707
6041,REPUBLICAN,21771
6041,OTHER,8795
6043,DEMOCRAT,3122
6043,REPUBLICAN,5185
6043,OTHER,570
6045,DEMOCRAT,22079
6045,REPUBLICAN,10888
6045,OTHER,4510
6047,DEMOCRAT,37317
6047,REPUBLICAN,28725
6047,OTHER,4747
6049,DEMOCRAT,877
6049,REPUBLICAN,2696
6049,OTHER,215
6051,DEMOCRAT,2773
6051,REPUBLICAN,2111
6051,OTHER,392
6053,DEMOCRAT,89088
6053,REPUBLICAN,34895
6053,OTHER,9425
6055,DEMOCRAT,39199
6055,REPUBLICAN,17411
6055,OTHER,4762
6057,DEMOCRAT,26053
6057,REPUBLICAN,23365
6057,OTHER,5517
6059,DEMOCRAT,609961
6059,REPUBLICAN,507148
6059,OTHER,80412
6061,DEMOCRAT,73509
6061,REPUBLICAN,95138
6061,OTHER,14192
6063,DEMOCRAT,3459
6063,REPUBLICAN,5420
6063,OTHER,797
6065,DEMOCRAT,373695
6065,REPUBLICAN,333243
6065,OTHER,44453
6067,DEMOCRAT,326023
6067,REPUBLICAN,189789
6067,OTHER,43518
6069,DEMOCRAT,12521
6069,REPUBLICAN,7841
6069,OTHER,1562
6071,DEMOCRAT,340833
6071,REPUBLICAN,271240
6071,OTHER,41910
6073,DEMOCRAT,735476
6073,REPUBLICAN,477766
6073,OTHER,93158
6075,DEMOCRAT,345084
6075,REPUBLICAN,37688
6075,OTHER,23020
6077,DEMOCRAT,121124
6077,REPUBLICAN,88936
6077,OTHER,14106
6079,DEMOCRAT,67107
6079,REPUBLICAN,56164
6079,OTHER,11738
6081,DEMOCRAT,237882
6081,REPUBLICAN,57929
6081,OTHER,18573
6083,DEMOCRAT,107142
6083,REPUBLICAN,56365
6083,OTHER,13279
6085,DEMOCRAT,511684
6085,REPUBLICAN,144826
6085,OTHER,47199
6087,DEMOCRAT,95249
6087,REPUBLICAN,22438
6087,OTHER,11134
6089,DEMOCRAT,22301
6089,REPUBLICAN,51778
6089,OTHER,5974
6091,DEMOCRAT,601
6091,REPUBLICAN,1048
6091,OTHER,181
6093,DEMOCRAT,7234
6093,REPUBLICAN,11341
6093,OTHER,1917
6095,DEMOCRAT,102360
6095,REPUBLICAN,51920
6095,OTHER,11833
6097,DEMOCRAT,160435
6097,REPUBLICAN,51408
6097,OTHER,19410
6099,DEMOCRAT,81647
6099,REPUBLICAN,78494
6099,OTHER,12005
6101,DEMOCRAT,13076
6101,REPUBLICAN,18176
6101,OTHER,2271
6103,DEMOCRAT,6809
6103,REPUBLICAN,15494
6103,OTHER,1605
6105,DEMOCRAT,2214
6105,REPUBLICAN,2812
6105,OTHER,660
6107,DEMOCRAT,47585
6107,REPUBLICAN,58299
6107,OTHER,6450
6109,DEMOCRAT,9123
6109,REPUBLICAN,14551
6109,OTHER,1855
6111,DEMOCRAT,194402
6111,REPUBLICAN,132323
6111,OTHER,25001
6113,DEMOCRAT,54752
6113,REPUBLICAN,20739
6113,OTHER,6599
6115,DEMOCRAT,7910
6115,REPUBLICAN,13170
6115,OTHER,1918
8001,DEMOCRAT,96558
8001,REPUBLICAN,80082
8001,OTHER,17025
8003,DEMOCRAT,3189
8003,REPUBLICAN,3046
8003,OTHER,704
8005,DEMOCRAT,159885
8005,REPUBLICAN,117053
8005,OTHER,26108
8007,DEMOCRAT,2500
8007,REPUBLICAN,4264
8007,OTHER,575
8009,DEMOCRAT,283
8009,REPUBLICAN,1753
8009,OTHER,117
8011,DEMOCRAT,590
8011,REPUBLICAN,1188
8011,OTHER,149
8013,DEMOCRAT,132334
8013,REPUBLICAN,41396
8013,OTHER,14412
