fips,X
19001,-37.97552608698876
19003,-12.74954902232714
19005,4.377508951124099
19007,-15.19521897420865
19009,10.14380412908038
19011,-32.08789861178572
19013,-51.9207260771306
19015,-19.19630032636849
19017,15.10612825606105
19019,-44.06254550682855
19021,11.23319311300664
19023,-39.42059138220159
19025,-2.49682564692781
19027,17.79224969230586
19029,-55.20187194257814
19031,-37.38954982108168
19033,-27.92044104888041
19035,5.863486092547213
19037,-14.67106532875151
19039,6.254547751042722
19041,-17.57476831154712
19043,8.088465308220961
19045,23.43433206656659
19047,15.17866114532787
19049,-21.41750224713898
19051,0.7029949985818895
19053,3.5778575102447
19055,-58.50379932012585
19057,-12.27697772180299
19059,-32.23964985290952
19061,17.18458881197025
19063,-12.44662142210848
19065,-15.00815668948068
19067,-32.11367274690759
19069,-21.55757388653256
19071,-27.27805049188094
19073,-49.17613547178674
19075,-31.17133973845019
19077,-4.26088386552453
19079,19.87161076686011
19081,-19.07220376842108
19083,-79.44554543416896
19085,-29.59624187906047
19087,-24.17722352624791
19089,-10.34306569343066
19091,-8.447030158374982
19093,6.37412499259948
19095,-8.814180694047504
19097,1.499756876271463
19099,-16.6546829361987
19101,-37.6293710330349
19103,-12.0105315599533
19105,-40.78956227064118
19107,-10.15370304943676
19109,23.42383853689688
19111,-11.90235882936333
19113,-37.99274995485164
19115,-30.16585703352541
19117,10.54187354344659
19119,8.89409993559179
19121,-26.97557856894647
19123,-17.98767881745802
19125,4.106155566164379
19127,-54.20921106762808
19129,-44.48313593370976
19131,-3.594680263437432
19133,2.309925022946842
19135,-13.30303018421073
19137,-40.80347713974296
19139,-34.50005663084069
19141,-14.0108807846425
19143,0.2753266318038214
19145,-48.70537166101597
19147,31.15696574576288
19149,26.80617123606108
19151,22.65721978912386
19153,-35.55117721310576
19155,-25.41751292442827
19157,-15.28521336469865
19159,-9.373541298905263
19161,-9.83558409869691
19163,-4.885944459798034
19165,-7.751233510730202
19167,11.64587887082509
19169,-43.26029733992333
19171,-24.28159651824001
19173,-15.6052079009803
19175,-8.386985032177591
19177,-20.96537558685446
19179,-20.38457672454031
19181,-20.16186658570765
19183,-27.24734871405855
19185,-1.468991497569859
19187,1.268964310813629
19189,0.6731645117055862
19191,17.20848950929922
19193,29.24560051567449
19195,17.43022824006628
19197,-12.62955195211114
