fips,DEMOCRAT,REPUBLICAN
1001,6363,17379
1003,18424,66016
1005,5912,5550
1007,2202,6132
1009,2970,20757
1011,4061,1251
1013,4374,5087
1015,15511,30278
1017,6871,7626
1019,2132,7506
1021,3397,13932
1023,3786,4152
1025,6334,7470
1027,1777,4817
1029,971,5272
1031,4925,14666
1033,9166,13936
1035,3555,3439
1037,2191,3049
1039,3158,12153
1041,2050,4331
1043,5052,28999
1045,5286,13108
1047,14612,6288
1049,5239,18331
1051,8954,26253
1053,5489,9287
1055,12803,29130
1057,1817,6054
1059,3171,7567
1061,2039,9175
1063,4521,804
1065,5411,3210
1067,3083,5628
1069,12367,29270
1071,5822,14439
1073,159876,141683
1075,1646,5457
1077,12511,23911
1079,5069,8874
1081,21381,32194
1083,9829,25295
1085,5747,1756
1087,9045,1331
1089,62015,90884
1091,6167,5336
1093,2249,9697
1095,6299,25867
1097,78760,94893
1099,4914,5741
1101,63085,38332
1103,13439,35391
1105,4568,1506
1107,4455,5124
1109,6035,7963
1111,3078,7224
1113,10500,8278
1115,5801,29031
1117,20051,71436
1119,5421,1586
1121,13905,19246
1123,6319,12396
1125,32048,45748
1127,6557,21651
1129,2976,5761
1131,4868,1679
1133,1286,8312
4001,17147,8250
4003,18546,29497
4005,29257,21220
4007,7697,13455
4009,3609,8076
4011,1310,1592
4012,1880,3714
4013,602288,749885
4015,19533,49168
4017,16945,19884
4019,201251,174779
4021,44306,62079
4023,9486,4235
4025,33918,64468
4027,18059,23352
5001,2455,3897
5003,2859,4867
5005,5172,13688
5007,22636,54646
5009,3772,11159
5011,1449,2134
5013,660,1458
5015,3696,6125
5017,2649,1670
5019,3811,4343
5021,1738,3225
5023,2620,8693
5025,845,2313
5027,3557,5790
5029,3005,4514
5031,10527,20350
5033,4881,15145
5035,9487,6998
5037,2279,4269
5039,1337,1665
5041,2443,1896
5043,2630,3887
5045,13621,26722
5047,1726,4631
5049,1452,2949
5051,13804,26014
5053,1468,4829
5055,4000,9071
5057,2468,4284
5059,3830,7097
5061,1471,2892
5063,3281,8728
5065,1524,3575
5067,2095,3072
5069,17470,9520
5071,2799,5064
5073,1173,1713
5075,1788,3536
5077,2107,1280
5079,1425,2199
5081,1552,3385
5083,2009,5079
5085,5625,17880
5087,2099,4263
5089,2037,4774
5091,4518,10622
5093,6467,6603
5095,1583,1585
5097,920,2369
5099,1314,1996
5101,993,2508
5103,4633,5521
5105,1187,2581
5107,5202,2598
5109,851,2847
5111,2390,4974
5113,1556,5955
5115,5126,14763
5117,880,2153
5119,87248,68984
5121,2046,3701
5123,4910,3368
5125,12869,32963
5127,897,2631
5129,814,2699
5131,13092,29169
5133,1042,3136
5135,2092,4921
5137,1356,3776
5139,6196,10699
5141,1832,4365
5143,28236,39688
5145,5765,20011
5147,1340,1227
5149,1722,4042
6001,469684,108182
6003,389,236
6005,6830,10281
6007,42669,44479
6009,8670,12365
6011,2314,3601
6013,290824,136517
6015,3791,4614
6017,35166,50973
6019,129129,124490
6021,3301,5632
6023,34457,18825
6025,25136,12777
6027,3422,4340
6029,89495,126618
6031,12979,17671
6033,13163,9200
6035,3053,7296
6037,2216903,885333
6039,16018,22852
6041,99896,30880
6043,3498,5140
6045,23193,9658
6047,33005,27581
6049,1111,2777
6051,2733,2285
6053,82920,37390
6055,35870,19526
6057,24663,24986
6059,512440,582332
6061,66818,99921
6063,4026,5721
6065,329063,318127
6067,300503,202514
6069,11276,7343
6071,305109,262358
6073,626957,536726
6075,301723,47076
6077,114121,86071
6079,61258,59967
6081,206085,72756
6083,94129,64606
6085,450818,174843
6087,90805,24047
6089,25819,48067
6091,653,1056
6093,8046,11077
6095,96783,52092
6097,153942,54784
6099,77724,73459
6101,12192,18122
6103,7934,14235
6105,2674,2716
6107,41752,56956
6109,9998,13880
6111,170929,147958
6113,48715,23368
6115,7711,11275
8001,100649,70972
8003,3811,2705
8005,153905,125588
8007,2679,3872
8009,467,1559
8011,815,1075
8013,125091,49981
8014,16966,15008
8015,5086,5070
8017,172,889
8019,3119,2430
8021,2213,1835
8023,1340,446
8025,535,924
8027,868,1788
8029,4622,10915
8031,222018,73111
8033,334,859
8035,60991,104204
8037,12792,9411
8039,3603,10266
8041,111819,170952
8043,6704,13174
8045,11305,12535
8047,1892,1346
8049,3684,4253
8051,5044,3341
8053,229,353
8055,1953,1646
8057,216,600
8059,159296,144197
8061,118,677
8063,838,2785
8065,1839,1098
8067,15489,12794
8069,92747,82376
8071,3445,3263
8073,552,1687
8075,2712,6179
8077,23846,47472
8079,291,344
8081,1330,4695
8083,4542,7401
8085,6138,13552
8087,3912,6602
8089,3647,4382
8091,1646,1481
8093,3862,5236
8095,588,1637
8097,6849,3024
8099,1519,3230
8101,42551,31894
8103,568,2724
8105,2478,2918
8107,7547,5469
8109,1864,964
8111,266,212
8113,2992,1154
8115,419,881
8117,9347,5571
8119,4333,8702
8121,468,2076
8123,49050,63775
8125,987,3490
9001,217294,175168
9003,244639,143238
9005,43856,47201
9007,47855,34591
9009,218972,138357
9011,67144,46119
9013,25957,19768
9015,25957,19768
10001,35527,32135
10003,167082,81230
10005,39975,52119
11001,267070,21381
12001,69699,48797
12003,2311,8975
12005,22051,56876
12007,3325,8219
12009,122993,159300
12011,508312,244101
12013,1664,4366
12015,35906,47996
12017,28460,44662
12019,25759,70022
12021,51698,96520
12023,8462,18429
12027,4174,5587
12029,1798,5052
12031,196737,211615
12033,58185,88711
12035,23207,26969
12037,1845,3570
12039,15770,6630
12041,1885,5917
12043,1603,2344
12045,2014,4995
12047,2228,3138
12049,2463,4696
12051,4751,5355
12053,37830,44938
12055,16148,25915
12057,286467,250186
12059,1264,6919
12061,27492,43450
12063,7342,13418
12065,3945,3808
12067,687,2668
12069,61799,87643
12071,110157,154163
12073,90881,55805
12075,6119,12054
12077,942,2301
12079,4176,4474
12081,66503,85627
12083,66831,93043
12085,30107,48183
12086,541440,332981
12087,19404,19234
12089,10251,29929
12091,23421,70168
12093,4856,7328
12095,273665,188589
12097,67239,40592
12099,349651,247398
12101,98263,112427
12103,239104,213258
12105,114622,131577
12107,11667,19326
12109,35190,78513
12111,65869,56202
12113,17768,58186
12115,95119,110504
12117,96445,109943
12119,19524,40646
12121,4751,12672
12123,2764,6249
12125,1339,3980
12127,114748,117490
12129,5175,9290
12131,6671,21490
12133,2820,8038
13001,1758,5233
13003,930,1938
13005,791,3093
13007,794,785
13009,8483,7589
13011,780,5354
13013,6028,18725
13015,8396,26876
13017,2512,3396
13019,1273,4843
13021,38585,25623
13023,1269,3587
13025,939,4964
13027,3138,3554
13029,3707,9560
13031,9593,14174
13033,5405,4301
13035,2968,6306
13037,1298,883
13039,6377,11343
13043,1157,2344
13045,12688,28280
13047,5365,17858
13049,1197,2527
