fips,DEMOCRAT,REPUBLICAN
1001,4758,15196
1003,15599,52971
1005,4832,5899
1007,2089,5472
1009,3938,17386
1011,3210,1494
1013,3413,4979
1015,15083,29814
1017,5347,7622
1019,3040,5923
1021,3778,12829
1023,3303,3897
1025,4627,6730
1027,1893,4624
1029,1391,4370
1031,4480,13019
1033,10598,13188
1035,2719,3271
1037,2055,2905
1039,3423,11119
1041,1698,3777
1043,8045,26818
1045,4484,13621
1047,11175,7335
1049,7092,16904
1051,6471,22056
1053,3814,8513
1055,15328,26999
1057,2408,5534
1059,4514,7690
1061,2113,8342
1063,3764,958
1065,4631,3281
1067,2452,4881
1069,9144,26874
1071,8635,11534
1073,132286,158680
1075,1956,4894
1077,14628,22161
1079,6155,7730
1081,16227,27972
1083,9126,19702
1085,4233,1786
1087,7800,1570
1089,52644,77173
1091,5037,5255
1093,3808,8983
1095,8452,22783
1097,63732,92014
1099,3666,5831
1101,45160,44097
1103,14131,32477
1105,3767,1738
1107,3915,5170
1109,4334,7483
1111,2817,6127
1113,8375,8337
1115,5456,23500
1117,14850,63435
1119,4527,1880
1121,11374,18331
1123,5451,12392
1125,26447,42877
1127,9016,19167
1129,3145,5060
1131,3838,1834
1133,2236,8130
4001,15658,8384
4003,17514,26556
4005,29243,22526
4007,8314,12343
4009,3185,7467
4011,1146,1899
4012,1849,3158
4013,504849,679455
4015,20503,36794
4017,14815,17277
4019,193128,171109
4021,27252,37006
4023,6909,4668
4025,33127,53468
4027,16032,22184
5001,3110,3789
5003,3881,4567
5005,7129,11128
5007,20756,46571
5009,4640,9793
5011,2206,2011
5013,942,1341
5015,4161,6184
5017,2993,1725
5019,4985,4127
5021,3264,2759
5023,4702,7001
5025,1450,2009
5027,4108,5729
5029,4259,4293
5031,13665,15818
5033,6764,13391
5035,8277,6930
5037,3135,3864
5039,1667,1699
5041,2851,1729
5043,2952,3262
5045,14538,21514
5047,3008,4181
5049,2370,2522
5051,18040,21734
5053,2524,4205
5055,6561,7232
5057,3817,3580
5059,5903,5962
5061,2166,2736
5063,5443,7430
5065,2586,2833
5067,3515,2624
5069,19675,10218
5071,3622,4311
5073,1567,1604
5075,3544,2951
5077,2548,1492
5079,2149,1921
5081,2677,2575
5083,3361,5076
5085,7454,14398
5087,2421,3873
5089,2602,4127
5091,6139,8448
5093,7593,6121
5095,2049,1586
5097,1524,2367
5099,1694,1752
5101,1506,2779
5103,5188,5345
5105,1921,2435
5107,5642,3161
5109,1310,2013
5111,4069,3555
5113,2473,5192
5115,7100,13614
5117,1562,2030
5119,82755,67617
5121,3412,3158
5123,5684,3815
5125,14153,24864
5127,1473,2514
5129,1370,2565
5131,16479,27303
5133,2035,2516
5135,3265,4097
5137,2255,3188
5139,7071,10502
5141,3310,3988
5143,27597,35726
5145,9129,17001
5147,1972,1021
5149,2913,3678
6001,422585,130911
6003,373,311
6005,6211,10479
6007,42448,51662
6009,8286,13601
6011,1947,4142
6013,257254,150608
6015,3892,5356
6017,32242,52878
6019,103154,141988
6021,2995,6308
6023,37988,25714
6025,13955,11628
6027,3021,4559
6029,68603,140417
6031,10833,21003
6033,9679,8185
6035,3158,8126
6037,1907736,1076225
6039,13481,24871
6041,99070,34378
6043,3251,5215
6045,24385,12955
6047,24491,32773
6049,1149,3235
6051,2628,2621
6053,75241,47838
6055,33666,22059
6057,24220,28790
6059,419239,641832
6061,55573,95969
6063,4129,6905
6065,228806,322473
6067,236657,235539
6069,9851,8698
6071,227789,289306
6073,526437,596033
6075,296772,54355
6077,87012,100978
6079,58742,67995
6081,197922,83315
6083,90314,76806
6085,386100,209094
6087,89102,30354
6089,24339,52249
6091,646,1249
6093,7880,12673
6095,85096,62301
6097,148261,68204
6099,58829,85407
6101,9602,20254
6103,7504,15572
6105,2782,3560
6107,32494,65399
6109,10104,15745
6111,148859,160314
6113,42885,28005
6115,5687,12076
8001,69122,65912
8003,3017,3179
8005,110262,119475
8007,2141,3601
8009,483,1680
8011,785,1338
8013,105564,51586
8014,10935,12007
8015,3766,4875
8017,198,923
8019,2989,2522
8021,1894,1864
8023,1170,566
8025,478,1006
8027,739,1657
8029,4224,9722
8031,166135,69903
8033,333,785
8035,39661,80651
8037,9744,8533
8039,2834,8389
8041,77648,161361
8043,5933,12313
8045,9228,11123
8047,1807,1329
8049,3243,4260
8051,4782,3479
8053,236,355
8055,1663,1700
8057,210,710
8059,126558,140644
8061,172,712
8063,729,2721
8065,1623,1261
8067,13409,11704
8069,68266,75884
8071,3300,3196
8073,503,1819
8075,2491,6168
8077,19564,41539
8079,227,383
8081,1355,4247
8083,3867,6988
8085,4776,11218
8087,3039,6787
8089,3164,4947
8091,1278,1402
8093,3445,4781
8095,582,1717
8097,6335,2784
8099,1308,3392
8101,35369,31117
8103,566,2403
8105,2006,3448
8107,6392,5199
8109,1594,1163
8111,253,216
8113,2876,1079
8115,374,971
8117,8144,5370
8119,3556,8094
8121,455,2050
8123,31868,55591
8125,1064,3456
9001,205902,189605
9003,229902,154919
9005,44647,50160
9007,47292,35252
9009,199060,160390
9011,66062,49931
9013,39146,31245
9015,25477,22324
10001,23872,31578
10003,146171,93070
10005,30098,47003
11001,202970,21256
12001,62504,47762
12003,2180,7738
12005,21068,53404
12007,3244,7557
12009,110309,153068
12011,453873,244674
12013,2116,3782
12015,34256,44428
12017,29277,39500
12019,18971,62078
12021,43892,83631
12023,8031,16758
12027,3913,5524
12029,1960,4434
12031,158610,220190
12033,48329,93566
12035,18578,19633
12037,2401,3472
12039,14629,6253
12041,2017,4936
12043,1718,2443
12045,2407,4805
12047,2260,2792
12049,2149,5049
12051,3960,5757
12053,37187,42635
12055,15347,25878
12057,214132,245576
12059,1810,6412
12061,23956,36938
12063,7555,12122
12065,4135,3298
12067,845,2460
12069,48221,74389
12071,93860,144176
12073,83873,51615
12075,6074,10410
12077,1070,1927
12079,4050,4191
12081,61262,81318
12083,57271,81283
12085,30208,41362
12086,409732,361095
12087,19654,19467
12089,8573,23783
12091,19368,69693
12093,5153,6978
12095,193354,192539
12097,38633,43117
12099,328687,212688
12101,84749,103230
12103,225460,225686
12105,86009,123559
12107,12412,18311
12109,26399,59196
12111,51835,47592
12113,14659,52059
12115,88442,104692
12117,76971,108172
12119,11584,19800
12121,4522,11153
12123,3049,5467
12125,1251,3396
12127,115519,111924
12129,4896,6777
12131,6213,17555
12133,2912,7369
13001,1848,4494
13003,799,1666
13005,930,2853
13007,936,821
13009,6775,7709
13011,1149,4410
13013,4095,13520
13015,7741,22311
