fips,DEMOCRAT,REPUBLICAN
1001,4942,11993
1003,13997,40872
1005,5188,5096
1007,2710,4273
1009,4977,12667
1011,3395,1433
1013,3606,4127
1015,15781,22306
1017,5616,6037
1019,3497,4154
1021,4806,10066
1023,3707,3600
1025,4679,5988
1027,2045,3719
1029,1664,3333
1031,5220,9938
1033,10543,10518
1035,2783,2699
1037,2104,2382
1039,4440,8961
1041,1934,2793
1043,9758,19157
1045,4906,10593
1047,10967,7360
1049,7056,12827
1051,6652,16777
1053,4523,6975
1055,17433,21087
1057,3064,4582
1059,4793,6119
1061,2769,6588
1063,3504,850
1065,4652,2984
1067,2782,4054
1069,9412,22150
1071,9066,8475
1073,129889,138491
1075,2653,4470
1077,13875,17478
1079,6296,5671
1081,14574,22433
1083,8992,14204
1085,4557,1638
1087,7665,1091
1089,48199,62151
1091,4841,4690
1093,4600,6910
1095,10381,17084
1097,58640,78162
1099,3741,5153
1101,40371,38827
1103,16060,25774
1105,4020,1732
1107,4143,4306
1109,4357,6058
1111,3094,4666
1113,8396,6198
1115,6485,17117
1117,13183,47651
1119,4415,1629
1121,11264,13807
1123,6183,9805
1125,24614,34003
1127,11621,13486
1129,3386,4117
1131,3444,1661
1133,2692,6413
4001,13025,5947
4003,13360,18180
4005,20280,17562
4007,7700,9158
4009,3355,6007
4011,1216,1619
4012,1769,2543
4013,386683,479967
4015,17470,24386
4017,11794,12386
4019,147688,124579
4021,19650,20122
4023,5233,3344
4025,24063,40144
4027,12055,15708
5001,2877,3353
5003,4253,3876
5005,6516,9538
5007,17277,34838
5009,4493,8569
5011,2122,1793
5013,1017,1128
5015,3595,5556
5017,2820,1564
5019,4661,3776
5021,3527,2254
5023,4120,5730
5025,1414,1678
5027,4003,5018
5029,3496,3545
5031,12376,12158
5033,6288,10804
5035,7224,5857
5037,3096,3033
5039,1710,1571
5041,2776,1603
5043,3060,2756
5045,11950,16055
5047,2674,3277
5049,1976,2036
5051,15840,19098
5053,2535,3285
5055,6319,5831
5057,3937,3257
5059,5527,5042
5061,2063,2326
5063,5146,6145
5065,2587,2301
5067,3651,2280
5069,17716,8765
5071,3270,3657
5073,1806,1538
5075,3255,2626
5077,2727,1351
5079,1957,1526
5081,2883,2283
5083,3283,4487
5085,6851,10606
5087,2055,3387
5089,2233,3402
5091,6278,7276
5093,7107,5199
5095,1910,1329
5097,1438,2128
5099,1867,1796
5101,1205,2529
5103,5464,4739
5105,1648,2114
5107,6018,3154
5109,1604,2275
5111,4102,2988
5113,2315,4600
5115,6669,11244
5117,1563,1862
5119,68320,55866
5121,3019,2673
5123,4986,3414
5125,12700,18617
5127,1444,2399
5129,1229,2610
5131,15555,23483
5133,2095,2111
5135,3236,3698
5137,2043,2623
5139,6261,8647
5141,3202,3485
5143,21425,28231
5145,8342,13170
5147,1699,898
5149,3062,3223
6001,342889,119279
6003,265,281
6005,5906,8766
6007,31338,45584
6009,7093,10599
6011,1745,3629
6013,224338,141373
6015,3117,4526
6017,26220,42045
6019,95059,117342
6021,2498,5795
6023,24851,23219
6025,15489,12524
6027,2652,4713
6029,66003,110663
6031,11041,16377
6033,10717,8699
6035,2982,7080
6037,1710505,871930
6039,11650,20283
6041,79135,34872
6043,2816,4727
6045,16634,12272
6047,22726,26102
6049,945,2969
6051,1788,2296
6053,67618,43761
6055,28097,20633
6057,17670,25998
6059,391819,541299
6061,42449,69835
6063,3458,6343
6065,202576,231955
6067,212792,195619
6069,9131,7015
6071,214749,221757
6073,437666,475736
6075,241578,51496
6077,79776,81773
6079,44526,56859
6081,166757,80296
6083,73411,71493
