fips,DEMOCRAT,REPUBLICAN
6085,332490,188750
6087,66618,29627
6089,20127,43278
6091,540,1172
6093,6323,12198
6095,75116,51604
6097,117295,63529
6099,56448,67188
6101,8416,17350
6103,6507,13270
6105,1932,3340
6107,33006,54070
6109,9359,13172
6111,133258,136173
6113,33747,23057
6115,5546,9838
8001,54132,47561
8003,2455,2857
8005,82614,97768
8007,1432,2988
8009,531,1663
8011,783,1096
8013,69983,50873
8015,2768,4300
8017,209,957
8019,2188,2247
8021,1749,1772
8023,1054,504
8025,511,855
8027,507,1451
8029,3264,8372
8031,122693,61224
8033,293,741
8035,27076,56007
8037,6772,7165
8039,2326,6151
8041,61799,128294
8043,5293,9914
8045,6087,9103
8047,1099,1006
8049,2308,3570
8051,3059,3128
8053,188,316
8055,1495,1466
8057,173,682
8059,100970,120138
8061,211,728
8063,809,2542
8065,1296,1056
8067,7864,9993
8069,46055,62429
8071,3243,2569
8073,510,1630
8075,2296,5531
8077,15465,32396
8079,168,294
8081,1223,3840
8083,2556,6158
8085,4041,9266
8087,2885,5722
8089,2963,4082
8091,705,1279
8093,2393,3677
8095,564,1573
8097,4137,2565
8099,1361,3026
8101,28888,22827
8103,543,2185
8105,1707,3111
8107,4208,4472
8109,1145,1078
8111,149,210
8113,1598,1043
8115,384,877
8117,5304,4497
8119,2750,6477
8121,477,1878
8123,23436,37409
8125,1082,3156
9001,193769,159659
9003,221167,127468
9005,41806,39172
9007,43319,29295
9009,197928,122919
9011,60449,41168
9013,33554,24705
9015,24023,16708
10001,22790,24081
10003,127539,78587
10005,29739,34620
11001,171923,18073
12001,47365,34124
12003,2392,5610
12005,18850,38637
12007,3075,5414
12009,97318,115185
12011,387703,177902
12013,2155,2873
12015,29645,35426
12017,25525,29767
12019,14632,41736
12021,29921,60450
12023,7047,10964
12027,3320,4256
12029,1826,2697
12031,107864,152098
12033,40943,73017
12035,13897,12613
12037,2046,2454
12039,9735,4767
12041,1910,3300
12043,1442,1841
12045,2397,3550
12047,1722,2146
12049,2339,3765
12051,3240,4747
12053,32644,30646
12055,14167,20206
12057,169557,180760
12059,2177,5011
12061,19768,28635
12063,6868,9138
12065,3041,2478
12067,789,1670
12069,36571,50010
12071,73560,106141
12073,61427,39062
12075,5398,6858
12077,1017,1317
12079,3014,3038
12081,49177,57952
12083,44665,55141
12085,26620,33970
12086,328808,289533
12087,16483,16059
12089,6952,16404
12091,16948,52093
12093,4588,5057
12095,140220,134517
12097,28181,26212
12099,269732,152951
12101,69564,68582
12103,200630,184825
12105,75200,90295
12107,12102,13447
12109,19502,39546
12111,41559,34705
12113,12802,36274
12115,72853,83100
12117,59174,75677
12119,9637,12127
12121,4075,8006
12123,2649,4056
12125,1407,2332
12127,97304,82357
12129,3838,4512
12131,5642,12182
12133,2798,4994
13001,2093,3940
13003,821,1228
13005,956,2010
13007,893,615
13009,5893,6041
13011,1220,3202
13013,3657,7925
13015,7508,14720
13017,2234,2381
13019,1640,2718
13021,24996,24071
13023,1273,2436
13025,1372,3118
13027,2096,2406
13029,2172,4835
13031,5561,8990
13033,3720,3381
13035,2281,3198
13037,1107,768
13039,3636,6371
13043,1053,1643
13045,8752,16326
13047,5470,12033
13049,1015,1770
13051,37590,37847
13053,600,590
13055,2729,3640
13057,12295,38033
13059,15167,11850
13061,821,448
13063,40042,19966
13065,816,1091
13067,86676,140494
13069,3593,5756
13071,3297,6589
13073,8969,26660
13075,1639,2279
13077,9056,21327
13079,1513,1987
13081,2268,3285
13083,1628,3333
13085,1458,4210
13087,3398,4187
13089,154509,58807
13091,2326,3472
13093,1901,1588
13095,16650,12248
13097,11162,18893
13099,1622,1938
13101,272,614
13103,3232,7326
13105,2527,3262
13107,2835,3343
13109,1217,1841
13111,2736,5463
13113,11912,29338
13115,10282,16194
13117,6694,27769
13119,2040,3659
13121,152039,104870
13123,2230,4941
13125,249,763
13127,7778,14346
13129,4032,7944
13131,2721,3894
13133,2137,2980
13135,61434,121756
13137,2530,6964
13139,10259,26841
13141,2414,662
13143,2869,5153
13145,2912,5554
13147,3192,4242
13149,1178,1947
13151,11971,25815
13153,13301,23174
13155,1105,1720
13157,3420,7878
13159,1558,2298
13161,1379,2797
13163,2973,2559
13165,1250,1317
13167,1065,1797
13169,3102,4850
13171,2194,2912
13173,832,1048
13175,5724,8133
13177,1936,5872
13179,5347,4455
13181,1275,1807
13183,975,1320
13185,10616,14462
13187,2121,4427
13189,2580,3926
13191,2047,1766
13193,2757,1566
13195,2285,5529
13197,982,1187
13199,3441,3162
13201,783,1349
13205,2971,2790
13207,2839,4561
13209,1013,1465
13211,2238,3524
13213,2684,5539
13215,28193,23479
13217,6703,11127
13219,3184,7611
13221,1519,2706
13223,6743,16881
13225,3540,3525
13227,2489,5488
13229,1300,3348
13231,1413,3358
13233,4112,5841
13235,1390,1922
13237,2612,3596
13239,542,348
13241,1776,3451
13243,1381,1174
13245,31413,25485
13247,8295,15440
13249,460,706
13251,2233,2461
13253,1313,1537
13255,5831,9271
13257,2869,5370
13259,1267,675
13261,4748,4847
13263,1662,844
13265,556,271
13267,1963,3597
13269,1340,1412
13271,1777,1693
13273,1584,1504
13275,4862,7093
13277,3547,6678
13279,2643,4487
13281,1495,2902
13283,879,1062
13285,6379,11198
13287,1169,1258
13289,1977,1570
13291,2230,4567
13293,3158,5019
13295,6341,12326
13297,5484,12966
13299,3480,6099
13301,1196,933
13303,3476,3162
13305,2736,5219
13307,541,359
13309,752,813
13311,2014,4857
13313,7034,15852
13315,962,1381
13317,1940,2044
13319,1884,1800
13321,2214,3792
15001,28670,17050
15003,139618,101310
15007,13470,6583
15009,23484,12876
16001,40650,75050
16003,336,1476
16005,10892,18223
16007,517,2296
16009,895,2606
16011,3310,10628
16013,3748,3528
16015,745,2019
16017,4318,8945
16019,7235,24988
16021,832,2797
16023,354,1054
16025,113,359
16027,10588,30560
16029,475,2601
16031,1087,5983
16033,63,311
16035,841,2885
16037,416,1794
16039,1840,4891
16041,513,3594
16043,699,4242
16045,1346,4376
16047,1282,3502
16049,1187,5806
16051,1100,6480
16053,1360,4418
16055,13488,28162
16057,5661,8161
16059,660,2859
16061,335,1295
16063,437,1049
16065,816,7941
16067,1344,4907
16069,4995,10577
16071,307,1426
16073,623,2450
16075,1643,4961
16077,755,1872
16079,2225,2879
16081,720,1745
16083,5777,15794
16085,1129,2548
16087,980,2899
17001,12197,17331
17003,2357,1588
17005,3060,3804
17007,6481,8617
17009,1077,1529
17011,7754,8526
17013,1310,1229
17015,3113,3835
17017,2789,2968
17019,35515,34645
17021,6799,7537
17023,2932,4398
17025,2212,3789
17027,6436,8588
17029,8904,10495
17031,1280547,534542
17033,3333,4974
17035,1870,2964
17037,14798,17139
17039,2870,3968
17041,3215,4734
17043,152550,201037
17045,3216,4833
17047,978,2212
17049,4225,9855
17051,3886,5200
17053,2090,3889
17055,10201,8490
17057,8940,6936
17059,1878,1591
17061,2490,3129
17063,7516,8709
17065,1943,2519
17067,4256,5134
17069,1184,1366
17071,2030,1708
17073,11921,10896
17075,4397,8685
17077,11773,9823
17079,1815,3119
17081,6685,8362
17083,4355,4699
17085,4585,5304
17087,1928,3285
17089,60127,76996
17091,19180,20049
17093,8444,13688
17095,12572,9912
17097,115058,120988
17099,23355,21276
17101,2822,3594
17103,6111,8069
17105,5829,9187
17107,4600,8141
17109,6080,6465
17111,40698,62112
17113,24936,34008
17115,24262,23830
17117,11015,9749
17119,59077,48821
17121,8068,8240
17123,2570,3145
17125,3192,3411
17127,2912,3676
17129,2164,3862
17131,4400,3688
17133,5797,7632
17135,6542,6226
17137,5899,8058
17139,2529,3058
17141,7673,12325
17143,38604,36398
17145,4862,4802
17147,3488,4619
17149,3198,4706
17151,927,1346
17153,1518,1430
17155,1657,1437
17157,6794,7127
17159,2491,4718
17161,37957,25194
17163,55961,42299
17165,5427,5933
17167,38414,50374
17169,1587,2077
17171,954,1458
17173,4018,5851
17175,1211,1694
17177,8062,10715
17179,25379,31537
17181,3982,4397
17183,15406,15783
17185,1987,3406
17187,3524,3899
17189,2638,4353
17191,2209,5347
17193,2958,4521
17195,12886,11252
17197,90902,95828
17199,12192,14012
17201,51981,53816
17203,5529,10905
18001,3775,8555
18003,41636,70426
18005,9015,16200
18007,1328,2441
18009,2103,2699
18011,4763,13161
18013,2608,3871
18015,2965,5102
18017,5412,9305
18019,17360,19417
18021,3605,6393
18023,3643,7141
18025,1817,2327
18027,2697,6872
18029,6020,11452
18031,2889,6115
18033,4776,8701
18035,20876,22105
18037,5090,10134
18039,16402,36756
18041,3415,5060
18043,13209,16486
18045,2717,4408
18047,2591,5587
18049,2960,5218
18051,5802,7734
18053,9712,16153
18055,4898,7452
18057,18002,56372
18059,6503,15943
18061,5870,8711
18063,10786,28651
18065,7647,10321
18067,12899,20331
18069,4119,10113
18071,5330,9054
18073,3744,7212
18075,3167,4687
18077,5117,6582
18079,3549,5732
18081,11952,29404
18083,6300,8485
18085,5785,19040
18087,2733,5437
18089,109078,63389
18091,19736,18994
18093,5071,10677
18095,23403,27956
18097,134189,137810
18099,5541,10266
18101,1518,3008
18103,4155,8401
18105,17523,19147
18107,3899,8891
18109,6228,15286
18111,2101,3250
18113,4822,9103
18115,951,1515
18117,2601,4687
18119,2253,4019
18121,2481,3841
18123,3823,3461
18125,2605,3566
18127,26790,31157
18129,4430,6498
18131,1919,3497
18133,4123,7352
18135,3906,6020
18137,3498,6988
18139,2370,4749
18141,47703,47581
18143,3915,3761
18145,5374,9590
18147,3752,5096
18149,4136,4349
18151,4103,6953
18153,3833,4319
18155,1336,1831
18157,18220,26106
18159,2392,4784
18161,927,1838
18163,29222,35846
18165,3370,3130
18167,17570,18021
18169,4277,8321
18171,1471,2218
18173,8749,13205
18175,3675,5868
18177,10273,14273
18179,3319,7755
18181,3655,6037
18183,4107,8080
19001,1753,2275
19003,897,1170
19005,2883,3277
19007,2560,2992
19009,1780,1909
19011,5915,5468
19013,30112,23468
19015,6270,5625
19017,5169,5675
19019,5045,4092
19021,3297,4354
19023,2735,3837
19025,2132,2776
19027,4463,4879
19029,2481,4206
19031,4033,4031
19033,12185,9397
19035,2845,3463
19037,3435,2936
19039,2081,1984
19041,3294,3992
19043,4238,4034
19045,12276,9229
19047,2838,3482
19049,8561,10306
19051,1691,1956
19053,1674,1903
19055,3808,4273
19057,11351,7385
19059,3660,4225
19061,22341,16462
19063,2165,2331
19065,4640,4747
19067,3830,3191
19069,2122,2657
19071,1459,2069
19073,2301,2282
19075,2139,3851
19077,2493,2840
19079,3407,3968
19081,2281,2988
19083,3734,4486
19085,2551,3802
19087,3907,4476
19089,2426,1922
19091,1949,2846
19093,1411,1968
19095,3230,3894
19097,4945,3769
19099,8699,8729
19101,2863,3248
19103,31174,17899
19105,4690,4201
19107,2181,2571
19109,3960,4612
19111,9632,6339
19113,48897,40417
19115,2294,2207
19117,1934,2262
19119,1313,3918
19121,3093,3662
19123,3370,5971
19125,5741,8358
19127,8322,8785
19129,2039,3684
19131,2650,2388
19133,2086,2304
19135,1699,1858
19137,1838,3417
19139,8058,7483
19141,2170,4674
19143,913,2064
19145,2293,4588
19147,2326,2341
19149,3499,6189
19151,1736,2242
19153,89715,79927
19155,14726,18783
19157,4222,4396
19159,1246,1369
19161,2099,2776
19163,35857,32801
19165,2179,3655
19167,2148,12241
19169,17478,16228
19171,4045,4034
19173,1247,1770
19175,2540,3003
19177,1440,2016
19179,8355,6313
19181,9521,9621
19183,3932,4827
19185,1300,1666
19187,8479,8172
19189,2691,2662
19191,4339,4647
19193,17691,18864
19195,2208,1659
19197,2796,3384
20001,2132,3379
20003,1327,1984
20005,3171,3378
20007,637,1755
20009,3238,7302
20011,2211,3852
20013,1512,2985
20015,6755,13377
20017,391,848
20019,443,1347
20021,3783,5014
20023,350,1312
20025,292,926
20027,951,2998
20029,1314,2918
20031,1196,2700
20033,211,760
20035,5535,8080
20037,7076,7160
20039,424,1255
20041,2413,5243
20043,1134,2350
20045,18249,17062
20047,447,1062
20049,402,1080
20051,3926,6516
20053,825,1845
20055,2431,6442
20057,2566,6050
20059,3321,5925
20061,2660,3977
20063,296,1122
20065,346,1058
20067,683,2126
20069,482,1631
20071,143,628
20073,1027,2392
20075,264,901
20077,869,2076
20079,4591,8271
20081,263,1323
20083,217,835
20085,1990,3001
20087,3000,4423
20089,380,1400
20091,79118,129965
20093,320,1084
20095,991,2672
20097,294,1262
20099,3745,4475
20101,252,846
20103,9733,12583
20105,469,1295
20107,1587,2513
20109,231,1088
20111,5190,6652
20113,3272,8501
20115,1475,4156
20117,1831,3066
20119,400,1604
20121,4554,6611
20123,751,2350
20125,4770,8496
20127,882,1599
20129,321,1203
20131,1494,3578
20133,2588,4014
20135,383,1420
20137,598,1744
20139,2530,3770
20141,484,1432
20143,631,1977
20145,968,1850
20147,611,2057
20149,2037,4985
20151,1314,2885
20153,306,1349
20155,9025,15179
20157,604,2239
20159,1422,2903
20161,6188,10672
20163,597,2016
20165,505,1235
20167,886,2434
20169,7487,12412
20171,418,1811
20173,62561,93724
20175,1126,3869
20177,34818,35894
20179,281,1132
20181,681,1894
20183,534,1534
20185,567,1546
20187,215,785
20189,345,1714
20191,3549,6176
20193,807,2822
20195,516,1220
20197,1025,2182
20199,103,737
20201,687,2446
20203,207,859
20205,1186,2748
20207,521,974
20209,32411,14024
21001,1779,5460
21003,1950,4415
21005,2902,4909
21007,1880,1824
21009,4930,8741
21011,2087,2303
21013,4787,5585
21015,9248,22016
21017,3048,3881
21019,9541,9247
21021,3963,6126
21023,888,2065
21025,2902,2084
21027,2595,4763
21029,8195,14054
21031,1299,3654
21033,2223,3161
21035,5635,7705
21037,12040,20789
21039,1149,1405
21041,1601,1818
21043,4182,4617
21045,1122,4284
21047,6778,10787
21049,4918,7297
21051,1723,4926
21053,1032,3224
21055,1610,2469
21057,736,2220
21059,14126,21361
21061,1710,3250
21063,1525,827
21065,1591,3033
21067,47277,54495
21069,1813,3282
21071,10088,5068
21073,10853,10209
21075,1452,1293
21077,1049,1345
21079,1713,4043
21081,2568,4405
21083,6097,7849
21085,2604,5843
21087,1085,3615
21089,7164,7233
21091,1508,2032
21093,11095,18964
21095,5365,4980
21097,2658,3793
21099,2201,3725
21101,8054,7698
21103,2117,3244
21105,940,1151
21107,6734,9490
21109,701,4079
21111,149901,145052
21113,4633,10074
21115,3251,4783
21117,19100,35363
21119,4349,2029
21121,3690,6058
21123,1727,3384
21125,4856,13029
21127,2258,2969
21129,836,1893
21131,1210,3159
21133,4698,4092
21135,1293,3217
21137,2678,4795
21139,2022,2118
21141,3885,5344
21143,1680,1688
21145,11412,14745
21147,1418,3321
21149,1747,2219
21151,9309,13682
21153,2603,2785
21155,2778,3259
21157,6203,7294
21159,1714,2667
21161,2178,3572
21163,3596,5319
21165,1038,1170
21167,3092,5362
21169,1318,2476
21171,1158,4377
21173,3833,4534
21175,1875,2295
21177,6295,5518
21179,5481,7714
21181,994,1613
21183,3303,5413
21185,6236,13580
21187,1394,2582
21189,339,1466
21191,1670,3044
21193,5514,5300
21195,13611,11005
21197,2008,2258
21199,5415,15845
21201,341,630
21203,1174,3992
21205,3505,3546
21207,1710,5268
21209,5472,7952
21211,4435,8068
21213,2583,3169
21215,1554,3150
21217,2790,6151
21219,1496,2646
21221,2110,3130
21223,1181,1837
21225,2547,2749
21227,12180,20235
21229,1458,3044
21231,2312,4069
21233,2388,2599
21235,4101,7502
21237,1136,1267
21239,3995,5890
22001,8892,13814
22003,3914,4035
22005,13385,16818
22007,5222,4388
22009,6701,7329
22011,3958,7862
22013,3413,3269
22015,11933,23224
22017,47530,46807
22019,33919,38086
22021,1359,2817
22023,1435,2593
22025,1718,2912
22027,2721,3384
22029,3569,4627
22031,5036,5260
22033,76516,89128
22035,1876,1280
22037,3870,4051
22039,5763,7290
22041,2792,5363
22043,2099,4784
22045,11762,17236
22047,8355,5573
22049,2582,4347
22051,70411,105003
22053,5162,6945
22055,27190,48491
22057,14627,18575
22059,1397,4564
22061,6851,9246
22063,11008,24889
22065,2489,2127
22067,5289,6641
22069,6924,7332
22071,137630,39404
22073,21457,35107
22075,4425,6302
22077,5813,4710
22079,18898,28831
22081,2177,2200
22083,3282,4895
22085,2846,5754
22087,11682,16255
22089,8918,11981
22091,3059,1965
22093,6523,3813
22095,9745,7423
22097,18067,15449
22099,9853,9961
22101,9851,11325
22103,22722,59193
22105,15843,20421
22107,1580,1330
22109,14414,21314
22111,3205,5772
22113,8704,12495
22115,4655,8794
22117,7399,8983
22119,7197,9420
22121,5058,4924
22123,1319,3220
22125,2187,2512
22127,2167,4028
23001,26251,19948
23003,17196,16555
23005,74203,58543
23007,7593,6459
23009,12983,12732
23011,31198,23967
23013,9453,8968
23015,8634,9457
23017,13649,11835
23019,32868,35620
23021,3745,4845
23023,8844,8052
23025,11538,10684
23027,8477,8689
23029,6701,7958
23031,46618,42304
24001,10894,14656
24003,89624,104209
24005,160635,133033
24009,12986,16004
24011,3396,5300
24013,20146,41742
24015,12327,15494
24017,21873,21768
24019,5232,5847
24021,30725,45350
24023,2872,7514
24025,35665,52862
24027,58556,49809
24029,3627,4155
24031,232453,124580
24033,216119,49987
24035,6257,9970
24037,11912,16856
24039,3785,3609
24041,5854,8874
24043,18221,27948
24045,14469,16338
24047,9389,10742
24510,158765,27150
25001,62363,49686
25003,37934,15805
25005,136325,62848
25007,5474,2315
25009,178400,110010
25011,17945,10176
25013,100103,59558
25015,38543,19202
25017,404043,198914
25019,2874,1624
25021,188450,107033
25023,115376,82751
25025,154888,44441
25027,173769,114139
26001,2696,3152
26003,2071,2142
26005,15495,28197
26007,7053,6769
26009,4329,6780
26011,3685,3421
26013,1400,1836
26015,9769,15716
26017,28251,22150
26019,3546,4172
26021,28152,35689
26023,6691,8743
26025,27312,26291
26027,8808,10545
26029,4958,7018
26031,5484,6815
26033,6370,7526
26035,6287,5937
26037,13394,18054
26039,2790,3345
26041,7970,8871
26043,5533,6932
26045,23211,24803
26047,5451,8602
26049,119833,66641
26051,5573,5743
26053,4066,3929
26055,14371,22358
26057,6538,8312
26059,6495,10483
26061,5688,7895
26063,6899,8911
26065,69231,47314
26067,9481,13915
26069,6505,6345
26071,3014,2967
26073,10228,10053
26075,28160,32066
26077,48807,48254
26079,2774,3842
26081,95442,148602
26083,540,740
26085,2584,1961
26087,15749,20351
26089,4635,6840
26091,18365,20681
26093,28780,44637
26095,956,1480
26097,2533,3272
26099,172625,164265
26101,5639,5401
26103,15503,12577
26105,5579,7066
26107,6300,8072
26109,4597,5529
26111,15959,21887
26113,2062,4274
26115,31555,28940
26117,9627,12696
26119,2139,2750
26121,37865,30028
26123,7677,11399
26125,281201,274319
26127,4597,5913
26129,4896,4706
26131,1514,2472
26133,4006,5680
26135,1677,2207
26137,4034,6108
26139,29600,78703
26141,3242,3660
26143,6433,6190
26145,50825,41152
26147,33002,33571
26149,8574,12906
26151,7153,10966
26153,2036,2088
26155,15520,15816
26157,10845,13213
26159,13796,14792
26161,86647,52459
26163,530414,223021
26165,5326,7215
27001,3830,3755
27003,68008,69256
27005,5253,8152
27007,7301,8346
27009,6009,7663
27011,1430,1370
27013,12329,12942
27015,4650,7370
27017,8620,5578
27019,12462,20790
27021,5534,7134
27023,2952,2977
27025,9593,10937
27027,10128,11712
27029,1466,2137
27031,1171,1295
27033,2503,3369
27035,11255,15035
27037,85446,87250
27039,3370,4213
27041,6352,9811
27043,3624,4336
27045,5020,4646
27047,8514,6843
27049,9981,10852
27051,1507,1804
27053,307599,225657
27055,4502,5077
27057,3632,5307
27059,6247,7668
27061,10583,9545
27063,2364,2773
27065,2831,3480
27067,8220,10026
27069,1107,1353
27071,2903,3523
27073,2244,1941
27075,3579,2465
27077,848,1216
27079,5361,6138
27081,1590,1513
27083,4737,6087
27085,5609,8782
27087,921,1122
27089,1910,2912
27091,4166,5686
27093,4402,5520
27095,4376,5223
27097,5274,8197
27099,10693,6873
27101,2093,2407
27103,7041,7221
27105,3760,4766
27107,1575,1808
27109,25822,30641
27111,9844,16963
27113,2458,3380
27115,6148,5854
27117,1970,2693
27119,5764,7609
27121,2771,2808
27123,138470,87669
27125,830,1090
27127,2681,4589
27129,3533,4036
27131,13140,10876
27133,2081,2772
27135,2128,4695
27137,64237,35420
27139,17503,23954
27141,12109,16813
27143,2687,4087
27145,24800,32402
27147,6900,8223
27149,2434,2831
27151,2698,2376
27153,4132,6031
27155,884,1074
27157,4522,5245
27159,2251,3733
27161,3694,4608
27163,49637,51502
27165,2258,2562
27167,1046,2032
27169,11069,10773
27171,16762,23861
27173,2528,2598
28001,8065,6691
28003,5059,7254
28005,2673,3677
28007,2922,4206
28009,1886,1561
28011,8436,4847
28013,2251,3448
28015,1726,3165
28017,3519,3549
28019,1278,2398
28021,3670,883
28023,2368,4503
28025,4515,3570
28027,5662,3695
28029,4845,5643
28031,2623,4180
28033,9586,24879
28035,8500,13281
28037,1486,2427
28039,1977,5143
28041,1317,3082
28043,4163,5129
28045,4801,9326
28047,19142,32256
28049,46789,37753
28051,5447,1937
28053,2288,1628
28055,555,366
28057,2994,5424
28059,14193,30068
28061,3104,3294
28063,2786,600
28065,2835,2437
28067,7713,16341
28069,2311,1915
28071,5139,7081
28073,3478,12795
28075,8412,17315
28077,2841,3674
28079,2793,4114
28081,9142,15551
28083,6401,4626
28085,4358,8540
28087,7537,11404
28089,10416,19109
28091,4114,6796
28093,7735,4723
28095,5783,7397
28097,2187,2630
28099,2563,6409
28101,2147,5540
28103,3383,1530
28105,6443,7959
28107,5880,5424
28109,4611,11575
28111,1285,3026
28113,6544,7464
28115,2771,6601
28117,3287,5101
28119,2103,1280
28121,8050,32983
28123,3548,5601
28125,1706,1074
28127,3227,6254
28129,1620,4838
28131,1677,3702
28133,4981,3369
28135,3041,2428
28137,3441,5148
28139,2908,5381
28141,2747,4122
28143,1539,792
28145,3094,6087
28147,2356,3476
28149,7485,10892
28151,10405,7367
28153,2981,4635
28155,1426,3069
28157,2551,1423
28159,3672,4645
28161,2674,2470
28163,4997,5254
29001,4101,6050
29003,2795,4257
29005,1013,1798
29007,4551,5256
29009,4135,7885
29011,1424,3836
29013,3386,4245
29015,3150,4218
29017,1692,3487
29019,28811,28426
29021,17085,16423
29023,4996,9111
29025,1488,2220
29027,6708,8238
29029,6323,10358
29031,9334,19832
29033,1620,2880
29035,997,1730
29037,14921,20113
29039,1979,3530
29041,1792,2300
29043,7896,14824
29045,1812,1899
29047,39084,39083
29049,3994,4323
29051,12056,20167
29053,2567,4072
29055,3350,4754
29057,1193,2468
29059,2311,3723
29061,1367,2011
29063,1562,2363
29065,1839,3996
29067,1546,3599
29069,4947,5426
29071,16172,21863
29073,2257,4190
29075,1271,1771
29077,41091,59178
29079,1563,2976
29081,1328,2552
29083,4459,5120
29085,1961,2172
29087,871,1738
29089,1944,2414
29091,4641,9018
29093,2044,2237
29095,160419,104418
29097,11737,24899
29099,38616,36766
29101,6926,9339
29103,787,1226
29105,4183,8556
29107,6343,7849
29109,4235,8305
29111,2023,2388
29113,6961,8549
29115,2646,3246
29117,2425,3709
29119,1866,4460
29121,2817,4232
29123,1828,2460
29125,1554,2216
29127,4993,6550
29129,555,1250
29131,3217,5945
29133,2756,2395
29135,2176,3764
29137,1860,2175
29139,2092,3106
29141,3235,4460
29143,3738,3416
29145,6447,14232
29147,3553,5161
29149,1568,2521
29151,1938,4154
29153,1432,2663
29155,3245,2750
29157,2085,4667
29159,5855,9533
29161,6262,9444
29163,3557,3648
29165,15325,17785
29167,3606,6430
29169,3800,6531
29171,708,1593
29173,2033,2446
29175,4116,4844
29177,4970,4517
29179,1298,1762
29181,1820,3121
29183,53806,72114
29185,1866,2731
29186,3600,3505
29187,9075,9327
29189,250631,224689
29195,4585,4572
29197,808,1159
29199,790,1335
29201,6452,8999
29203,1430,2245
29205,1262,1936
29207,4476,7727
29209,4055,7793
29211,1127,1877
29213,5092,9647
29215,3486,6136
29217,3156,4985
29219,4524,5979
29221,4047,4020
29223,2387,3346
29225,4174,7350
29227,469,651
29229,2250,5391
29510,96557,24799
30001,799,3113
30003,2345,1651
30005,1246,1410
30007,462,1488
30009,1434,3008
