fips,DEMOCRAT,REPUBLICAN
1001,7503,19838
1003,24578,83544
1005,4816,5622
1007,1986,7525
1009,2640,24711
1011,3446,1146
1013,3965,5458
1015,15216,35101
1017,6365,8753
1019,1624,10583
1021,3073,16085
1023,3127,4296
1025,5755,7324
1027,1267,5601
1029,675,6484
1031,5076,16899
1033,8343,19203
1035,2966,3442
1037,1796,3631
1039,2721,14586
1041,1700,4864
1043,4478,36880
1045,5170,14303
1047,12230,5524
1049,4281,24767
1051,10367,30164
1053,4918,10869
1055,11567,35528
1057,1395,7300
1059,2086,10376
1061,1595,10848
1063,3884,875
1065,4663,3192
1067,2606,6607
1069,12917,32618
1071,3717,19670
1073,181688,138843
1075,978,6174
1077,11915,31721
1079,3562,12322
1081,27860,42221
1083,13672,34640
1085,4972,1836
1087,7108,1541
1089,87286,102780
1091,5488,5343
1093,1463,12205
1095,5943,33191
1097,79474,101243
1099,4455,6147
1101,64529,33311
1103,13234,39664
1105,3860,1339
1107,4022,5594
1109,5636,8042
1111,2203,8559
1113,11228,9864
1115,7744,36166
1117,33268,79700
1119,4648,1598
1121,13138,22235
1123,5859,14963
1125,37765,51117
1127,4834,26002
1129,2258,6564
1131,4048,1833
1133,974,10195
2001,3477,3511
2002,2104,3674
2003,1903,6076
2004,5345,4690
2005,4204,4077
2006,3272,5770
2007,2215,7027
2008,1953,7618
2009,2769,7787
2010,2727,8081
2011,3130,7096
2012,2957,7893
2013,2666,4652
2014,4261,6714
2015,2622,2671
2016,4274,3516
2017,4136,2810
2018,4681,2760
2019,3118,1975
2020,4881,2383
2021,5414,3690
2022,4553,4684
2023,3810,3655
2024,4736,5378
2025,4600,4407
2026,4558,5243
2027,4844,4324
2028,6264,6162
2029,2985,7464
2030,2638,7180
2031,5037,6971
2032,3506,4440
2033,7535,3059
2034,5763,4543
2035,5011,4769
2036,3796,5114
2037,2560,2358
2038,3202,1737
2039,3580,1939
2040,2318,1994
2099,373,59
6001,617659,136309
6003,476,244
6005,8153,13585
6007,50426,48730
6009,10046,16518
6011,3239,4559
6013,416386,152877
6015,4677,6461
6017,51621,61838
6019,193025,164464
6021,3995,7063
6023,44768,21770
6025,34678,20847
6027,4634,4620
6029,133366,164484
