fips,DEMOCRAT,REPUBLICAN
1001,6093,17403
1003,19386,61271
1005,5697,5866
1007,2299,6262
1009,3522,20389
1011,4011,1391
1013,4188,5485
1015,16334,32348
1017,6799,8067
1019,2306,7298
1021,3674,13960
1023,3636,4223
1025,5914,7466
1027,1760,4984
1029,1168,5216
1031,5079,14919
1033,9703,14739
1035,3429,3470
1037,2273,3248
1039,3240,12444
1041,1938,4319
1043,5864,28896
1045,5270,13886
1047,13986,6798
1049,5658,17957
1051,8301,25777
1053,5188,9375
1055,13497,30595
1057,1994,5883
1059,3469,8048
1061,2134,9417
1063,4408,876
1065,4982,3200
1067,3018,5585
1069,12225,29254
1071,6374,14083
1073,166121,149921
1075,1614,5419
1077,13329,24068
1079,5164,9277
1081,21498,32230
1083,9536,23598
1085,5449,1809
1087,9450,1396
1089,64117,86965
1091,5926,5516
1093,2600,9536
1095,7038,25727
1097,82181,98049
1099,5025,6175
1101,62166,42031
1103,13895,36014
1105,4457,1679
1107,4594,5434
1109,5879,8004
1111,3064,7175
1113,10085,8705
1115,6091,27649
1117,20625,69060
1119,5264,1731
1121,13779,20112
1123,6063,13116
1125,32796,45405
1127,7420,20722
1129,3067,5654
1131,4612,1868
1133,1757,8103
4001,15390,8551
4003,18943,29026
4005,31433,22186
4007,7884,14095
4009,3487,8376
4011,1165,1712
4012,1929,3509
4013,602166,746448
4015,22092,44333
4017,15579,19761
4019,206254,182406
4021,44254,59421
4023,8683,4518
4025,36889,61192
4027,18559,24577
5001,2619,4185
5003,2976,5406
5005,6539,12852
5007,23331,51124
5009,4435,10575
5011,1680,2262
5013,691,1462
5015,4172,6083
5017,3043,2119
5019,4267,4608
5021,2244,3032
5023,2951,7962
5025,911,2451
5027,3554,5861
5029,3149,4691
5031,11294,18881
5033,5238,14688
5035,10330,7650
5037,2580,4393
5039,1471,1757
5041,2569,1999
5043,2598,3860
5045,14955,25362
5047,1869,4411
5049,1819,2702
5051,15899,26825
5053,1562,5023
5055,4541,8578
5057,2869,4273
5059,4288,7209
5061,1746,2957
5063,3688,8255
5065,1792,3193
5067,2207,3118
5069,18465,10655
5071,3034,4922
5073,1133,1685
5075,2138,3357
5077,2263,1454
5079,1710,2513
5081,1753,3247
5083,2286,5350
5085,5968,17242
5087,2144,3972
5089,2384,4524
5091,4869,9913
5093,6667,6976
5095,1615,1754
5097,1092,2365
5099,1474,2062
5101,1182,2588
5103,4346,5427
5105,1352,2743
5107,5695,3097
5109,1089,2727
5111,2742,4903
5113,1957,5473
5115,6002,15568
5117,1048,2223
5119,88854,70212
5121,2469,3615
5123,5486,3917
5125,12695,30981
5127,1053,2791
5129,961,2726
5131,13673,28637
5133,1291,3125
5135,2436,4535
5137,1598,3534
5139,6190,10677
5141,2151,4276
5143,29021,37963
5145,6732,19467
5147,1412,1206
5149,2003,3808
6001,489106,119555
6003,422,252
6005,7813,10561
6007,49013,46706
6009,9813,12835
6011,2569,3733
6013,306983,136436
6015,4323,4967
6017,40529,50314
6019,136706,131015
6021,3734,5910
6023,39692,21713
6025,24162,14008
6027,3743,4523
6029,93457,134793
6031,14747,19710
6033,14854,9935
6035,3586,7483
6037,2295853,956425
6039,17952,23583
6041,109320,28384
6043,4100,5298
6045,27843,10721
6047,34031,28704
6049,1313,2981
6051,3093,2354
6053,88453,38797
6055,38849,19484
6057,28617,25663
6059,549558,579064
6061,75112,94647
6063,4715,6035
6065,325017,310041
6067,316506,213583
6069,11917,7425
6071,315720,277408
6073,666581,541032
6075,322220,52292
6077,113974,91607
6079,68176,61055
6081,222826,75057
6083,105614,65585
6085,462241,190039
6087,98745,25244
6089,28867,49588
6091,743,1158
6093,9292,11520
6095,102095,56035
6097,168888,55127
6099,80279,77497
6101,13412,18911
6103,8945,14843
6105,3233,2940
6107,43634,59765
6109,11532,14988
6111,187601,145853
6113,53488,24592
6115,8866,12007
8001,93443,63976
8003,3521,2635
8005,148218,113866
8007,2836,3638
8009,536,1572
8011,799,1077
8013,124159,44904
8014,16168,12757
8015,4861,4873
8017,198,890
8019,3332,2300
8021,2154,1653
8023,1245,415
8025,552,976
8027,912,1672
8029,5084,10067
8031,204882,62567
8033,369,818
8035,61960,88108
8037,13187,8179
8039,3819,9108
8041,108899,160318
8043,6844,12668
8045,11357,11359
8047,1954,1253
8049,4037,4128
8051,5556,3131
8053,240,344
8055,1989,1580
8057,277,624
8059,158153,131627
