year,state,county_name,county_fips,candidate,party,candidatevotes,totalvotes,mode
2016,ALABAMA,COVINGTON,1039,HILLARY CLINTON,DEMOCRAT,2387,15940,TOTAL
2016,ALABAMA,COVINGTON,1039,DONALD TRUMP,REPUBLICAN,13267,15940,TOTAL
2016,ALABAMA,COVINGTON,1039,OTHER,OTHER,286,15940,TOTAL
2016,ALABAMA,CRENSHAW,1041,HILLARY CLINTON,DEMOCRAT,1664,6267,TOTAL
2016,ALABAMA,CRENSHAW,1041,DONALD TRUMP,REPUBLICAN,4513,6267,TOTAL
2016,ALABAMA,CRENSHAW,1041,OTHER,OTHER,90,6267,TOTAL
2016,ALABAMA,CULLMAN,1043,HILLARY CLINTON,DEMOCRAT,3798,37873,TOTAL
2016,ALABAMA,CULLMAN,1043,DONALD TRUMP,REPUBLICAN,32989,37873,TOTAL
2016,ALABAMA,CULLMAN,1043,OTHER,OTHER,1086,37873,TOTAL
2016,ALABAMA,DALE,1045,HILLARY CLINTON,DEMOCRAT,4413,18749,TOTAL
2016,ALABAMA,DALE,1045,DONALD TRUMP,REPUBLICAN,13808,18749,TOTAL
2016,ALABAMA,DALE,1045,OTHER,OTHER,528,18749,TOTAL
2016,ALABAMA,DALLAS,1047,HILLARY CLINTON,DEMOCRAT,12836,18792,TOTAL
2016,ALABAMA,DALLAS,1047,DONALD TRUMP,REPUBLICAN,5789,18792,TOTAL
2016,ALABAMA,DALLAS,1047,OTHER,OTHER,167,18792,TOTAL
2016,ALABAMA,DEKALB,1049,HILLARY CLINTON,DEMOCRAT,3622,25826,TOTAL
2016,ALABAMA,DEKALB,1049,DONALD TRUMP,REPUBLICAN,21405,25826,TOTAL
2016,ALABAMA,DEKALB,1049,OTHER,OTHER,799,25826,TOTAL
2016,ALABAMA,ELMORE,1051,HILLARY CLINTON,DEMOCRAT,8443,37260,TOTAL
2016,ALABAMA,ELMORE,1051,DONALD TRUMP,REPUBLICAN,27634,37260,TOTAL
2016,ALABAMA,ELMORE,1051,OTHER,OTHER,1183,37260,TOTAL
2016,ALABAMA,ESCAMBIA,1053,HILLARY CLINTON,DEMOCRAT,4605,14845,TOTAL
2016,ALABAMA,ESCAMBIA,1053,DONALD TRUMP,REPUBLICAN,9935,14845,TOTAL
2016,ALABAMA,ESCAMBIA,1053,OTHER,OTHER,305,14845,TOTAL
2016,ALABAMA,ETOWAH,1055,HILLARY CLINTON,DEMOCRAT,10442,44164,TOTAL
2016,ALABAMA,ETOWAH,1055,DONALD TRUMP,REPUBLICAN,32353,44164,TOTAL
2016,ALABAMA,ETOWAH,1055,OTHER,OTHER,1369,44164,TOTAL
2016,ALABAMA,FAYETTE,1057,HILLARY CLINTON,DEMOCRAT,1362,8249,TOTAL
2016,ALABAMA,FAYETTE,1057,DONALD TRUMP,REPUBLICAN,6712,8249,TOTAL
