fips,X
19001,44.65567115562254
19003,41.09284001370332
19005,42.2127717048657
19007,47.76896007535725
19009,29.59872838024098
19011,54.18485058768705
19013,38.95994617958464
19015,60.1007868087395
19017,46.88606131801378
19019,37.42216891699012
19021,53.11888982796823
19023,58.13774466343858
19025,50.3454715769556
19027,31.11681200236709
19029,41.17564161283193
19031,49.74762217027173
19033,41.18696712559592
19035,47.58355109338468
19037,32.89602521179631
19039,44.31724003686974
19041,52.32491477233255
19043,55.82082861705005
19045,33.6010708336423
19047,31.19473168120658
19049,44.18781039641281
19051,40.71797407954242
19053,44.29140325956341
19055,33.27811540050157
19057,56.20756260136105
19059,51.07328768629098
19061,14.79720402904837
19063,47.95350956080037
19065,54.12757356980181
19067,52.02221253235962
19069,64.48562721357384
19071,44.51142887202376
19073,43.92417116709085
19075,59.19157034288614
19077,44.26104379780411
19079,54.77679011502191
19081,47.1494325366807
19083,58.97875020866825
19085,47.75379075704112
19087,57.22356334469086
19089,29.27813001707304
19091,41.55327915222384
19093,49.94468926687939
19095,39.13523040858754
19097,39.51090817006275
19099,52.01257222982342
19101,54.69796000141706
19103,23.76028690585914
19105,43.38814341549703
19107,42.70664098150165
19109,39.97701268982733
19111,39.85715084563319
19113,34.10510313741629
19115,54.96691637275192
19117,51.85110238676077
19119,67.59365537619958
19121,38.06935121793653
19123,48.53072741036405
19125,51.76194954345394
19127,45.06454805097748
19129,45.23179296026941
19131,42.83535291779978
19133,57.29525805932483
19135,38.41618220606624
19137,46.00291827132086
19139,38.02502956323876
19141,50.52132389985324
19143,51.22104579935905
19145,52.43434061497049
19147,36.34612120150056
19149,43.04993914572822
19151,48.5494812337343
19153,32.56273897529049
19155,45.43284343576049
19157,44.55636816993082
19159,48.79286746604539
19161,43.94669457735247
19163,22.05835171465153
19165,31.13658695589022
19167,60.41760224039258
19169,44.93424406541919
19171,32.28288480795538
19173,47.15495853860412
19175,47.5867122540871
19177,47.30883532242085
19179,46.74622116149562
19181,38.03665870079909
19183,44.58055319959909
19185,46.05956841311676
19187,39.65512928456104
19189,69.48430076583948
19191,39.87321940876099
19193,44.85064595489844
19195,60.01605875035412
19197,52.96485963580351
