fips,data
19001,-34.1855242702
19003,-29.0828837666
19005,-31.8336913939
19007,-6.3857657461
19009,-6.84624017957
19011,-10.8842757197
19013,-17.2149416065
19015,-10.5027831006
19017,-23.9936762739
19019,-22.0849858357
19021,-29.3554627838
19023,-47.7254154181
19025,-22.6770428016
19027,-0.638385502471
19029,-43.3315128345
19031,-27.6288407394
19033,-18.2115284422
19035,-28.8144396832
19037,-13.6420179682
19039,-30.9452276404
19041,-28.0764294881
19043,-17.0522707798
19045,-27.8191465644
19047,-6.67946783706
19049,-18.901453958
19051,-6.27350089056
19053,-11.1189551712
19055,-30.9341878235
19057,-5.18745218057
19059,-20.9066041422
19061,11.1010932041
19063,-41.9854881266
19065,-19.2193598751
19067,-24.7199246152
19069,-39.2992424242
19071,-19.5613088817
19073,-29.2027194067
19075,-44.8938478227
19077,-31.7471692705
19079,-32.2479227487
19081,-36.1810551559
19083,-32.6944873776
19085,-16.469273743
19087,-34.2344497608
19089,-12.3339658444
19091,-22.1415900661
19093,-25.6570713392
19095,-23.5106073816
19097,-18.3267973856
19099,-2.16157622904
19101,-30.5478912101
19103,8.20271392966
19105,-19.2062367116
19107,-16.2784996323
19109,-13.2303684406
19111,-5.08388408744
19113,-8.60624523991
19115,-31.0643320873
19117,-20.9710743802
19119,-46.7980295567
19121,-29.3866341166
19123,-21.296005033
19125,-0.175192711983
19127,-24.0934065934
19129,-34.7093970668
19131,-36.8262116865
19133,-5.90927446493
19135,-0.671140939597
19137,-37.3013871375
19139,-15.4069767442
19141,-40.1429073445
19143,-25.2742012399
19145,-47.6259778061
19147,-6.58902850138
19149,-33.7999594238
19151,-16.3426925846
19153,1.33187164027
19155,-17.5162819245
19157,-15.3678910631
19159,-34.6474953618
19161,-32.6875310482
19163,-8.58606464482
19165,-17.755511022
19167,-58.6255382723
19169,-27.5259650597
19171,-14.8661477122
19173,-37.2679045093
19175,-32.8183339771
19177,-34.642788369
19179,2.03785976434
19181,-32.2808671065
19183,-33.0180378355
19185,-16.3795905102
19187,-3.12482898265
19189,-47.8930972291
19191,-19.2682926829
19193,-2.94453525605
19195,-39.8639455782
19197,-22.2489608401
