fips,data
19001,-62.5709860609
19003,-40.1894451962
19005,-31.5000948227
19007,-40.2880970432
19009,-38.4615384615
19011,-41.3768961494
19013,-63.1422598746
19015,-73.7558801684
19017,-31.1672683514
19019,-50.7686676428
19021,-72.1712538226
19023,-70.5392371767
19025,-59.2168674699
19027,-7.14017286734
19029,-53.6
19031,-47.0610982212
19033,-74.8743718593
19035,-66.2668665667
19037,-14.5572025846
19039,-40.3640929065
19041,-74.6763498579
19043,-35.3299669162
19045,-27.2711806737
19047,-27.998337144
19049,-65.1651651652
19051,-0.742459396752
19053,-19.6363636364
19055,-61.8405763421
19057,-35.4789272031
19059,-68.6559922368
19061,-0.935828877005
19063,-79.4299876084
19065,-60.2871461466
19067,-74.7957992999
19069,-85
19071,-7.25552050473
19073,-67.3287393595
19075,-64.9147232858
19077,-58.2356225572
19079,-78.7990196078
19081,-82.3107569721
19083,-79.9054373522
19085,-23.3519900498
19087,-43.5645877132
19089,-23.224480475
19091,-54.5755237045
19093,-65.1896901245
19095,-37.0214867869
19097,-18.8171030326
19099,-45.8878504673
19101,-50.2796768179
19103,-3.02800908403
19105,-32.0898876404
19107,-20.9012464046
19109,-57.308707124
19111,-11.8533347382
19113,-52.2330579539
19115,-66.1503588969
19117,-51.3012264433
19119,-74.6391752577
19121,-39.5049976202
19123,-41.2049990673
19125,-24.3228819213
19127,-70.7077785564
19129,-33.8755304102
19131,-61.7292700213
19133,-39.8053643484
19135,-53.3947312058
19137,-60.7175997526
19139,-41.6710457173
19141,-74.8035136385
19143,-53.3961328706
19145,-59.0599294947
19147,-63.2592592593
19149,-31.261970632
19151,-50.65211605
19153,-72.1682185613
19155,-39.15431996
19157,-53.3273381295
19159,-52.9885413441
19161,-78.3705839942
19163,-32.1079455259
19165,-6.63214499104
19167,-54.6739130435
19169,-77.145635789
19171,-34.5088161209
19173,-53.1126482213
19175,-46.6076696165
19177,-37.677484787
19179,-35.5438274438
19181,-53.9476484358
19183,-31.1576118257
19185,-24.1887318336
19187,-64.1324238895
19189,-88.0153403643
19191,-39.4630378816
19193,-50.9280288198
19195,-82.1409921671
19197,-80.2798568174
