fips,data
19001,-14.128238104
19003,-5.11182108626
19005,-20.74287209
19007,-3.72763993076
19009,3.35371502687
19011,-2.91575429296
19013,-4.64547677262
19015,6.78644489905
19017,-17.8778531771
19019,-8.58274135321
19021,-11.9412001611
19023,-33.3689553834
19025,-7.20074812968
19027,17.5453047776
19029,-28.4812388326
19031,-16.8624380057
19033,-3.85817588057
19035,-8.40950639854
19037,-1.37608171372
19039,-3.22901142573
19041,-10.4124603404
19043,-2.11035818006
19045,-9.25150245857
19047,5.67832167832
19049,-3.8675928308
19051,6.05680868839
19053,6.58727205061
19055,-21.5020576132
19057,5.8504536448
19059,-1.36363636364
19061,24.914925537
19063,-17.9335307667
19065,-11.9682359614
19067,-13.5758465248
19069,-23.8938053097
19071,-7.06418533992
19073,-12.4839948784
19075,-33.4788029925
19077,-8.83435582822
19079,-10.265308407
19081,-12.6944156421
19083,-18.2059730046
19085,-8.28235294118
19087,-24.0204005473
19089,0.173583714691
19091,-4.0866568193
19093,-8.56908569086
19095,-16.6884911974
19097,-6.94710006373
19099,1.78062226728
19101,-16.2921348315
19103,-1.09947919407
19105,-10.7032914989
19107,-1.10616656071
19109,-0.0441033783188
19111,6.02065131056
19113,-4.31152811989
19115,-15.5121121972
19117,-11.5370705244
19119,-31.0369068541
19121,-9.22330097087
19123,-14.0157480315
19125,2.82336333157
19127,-12.6001357773
19129,-22.3689320388
19131,-18.2825917252
19133,4.99569336779
19135,4.99047619048
19137,-20.3274215553
19139,-8.31519373095
19141,-21.380952381
19143,-10.6882781301
19145,-33.173461231
19147,10.8282162648
19149,-14.8392501833
19151,6.33599456429
19153,11.212371022
19155,-5.7509618986
19157,-10.852165725
19159,-14.7371019501
19161,-12.8936115071
19163,-2.25129709001
19165,-1.49253731343
19167,-44.5762120684
19169,-24.0267871726
19171,0.474208845447
19173,-9.90734141126
19175,-16.2705667276
19177,-18.7088553833
19179,14.4319843979
19181,-3.26572705397
19183,-19.8871650212
19185,-5.06486582548
19187,10.6472696606
19189,-17.6196808511
19191,-6.15149974581
19193,10.2805036104
19195,1.61984826738
19197,-9.68812209688
