fips,X
19001,-11.24607272627926
19003,-14.26414282596066
19005,-1.616938322817251
19007,-13.00412470123689
19009,-12.98823066576481
19011,-17.79081387958958
19013,-24.47228339251226
19015,-29.94961186536694
19017,-29.13068656418897
19019,-12.16480162836131
19021,-23.17845073615945
19023,-16.62323781332111
19025,-15.57964442662441
19027,-7.507439704249333
19029,-4.956727501271438
19031,-4.815877278106367
19033,-12.35525807334132
19035,-20.57648401826484
19037,-5.431486594330611
19039,-18.6108330552775
19041,-23.55232301537423
19043,-2.640774449737929
19045,-12.83872963059168
19047,-13.67759341293251
19049,-22.60235467507137
19051,-0.5174099560806962
19053,-8.472328371980243
19055,-8.448653363809015
19057,-7.651854672851311
19059,-11.24870704516723
19061,-4.236762004565234
19063,-19.21713367148084
19065,-12.21332873414841
19067,-21.36132105984189
19069,-26.86280137772675
19071,-13.21663565684427
19073,-17.73934326863686
19075,-19.23890131960046
19077,-14.97734694816245
19079,-24.99376714036399
19081,-24.62417925874525
19083,-20.98198258254736
19085,-11.16295011656873
19087,-9.67894586445533
19089,-6.333087035525276
19091,-25.05942454777046
19093,-25.59646257135117
19095,-3.605586889129528
19097,2.853405034939395
19099,-16.31608486812892
19101,-15.21954902381353
19103,-1.63454432692915
19105,-11.78987611304685
19107,-5.357279476757338
19109,-12.29407963029739
19111,-12.5051488693668
19113,-22.16564842189528
19115,-18.13210678910553
19117,-16.1213372868155
19119,-14.38127173506963
19121,-11.26723025569521
19123,-11.2026721102309
19125,-7.156218316439115
19127,-21.41574471109427
19129,-24.52602502734767
19131,-8.32034026571679
19133,-16.95986307686429
19135,-7.786663439521366
19137,-19.09046373616658
19139,-17.6737869743932
19141,-25.31630608645239
19143,-14.60544059521042
19145,-17.93279141756417
19147,-15.12190842233564
19149,-6.720818656031859
19151,-16.45681940259482
19153,-21.59315940260295
19155,-23.98201311967449
19157,-14.51800381991851
19159,-15.23776936620973
19161,-23.90227723613645
19163,-19.52363348295136
19165,-0.8310087122675425
19167,-19.90385634659588
19169,-18.75581914876489
19171,-13.55608077055402
19173,-16.80599717380127
19175,-4.117443126196676
19177,-12.37310847139836
19179,-10.39817556682982
19181,-12.92771328462766
19183,-15.74895191304093
19185,-6.516250325735901
19187,-19.42124647620404
19189,-14.05463515012358
19191,-4.352237653926013
19193,-20.72586651908293
19195,-19.33986763843512
19197,-29.34915812211918
