fips,data
51001,14.3751957407
51003,29.9958626396
51510,-10.6019151847
51005,-45.0530035336
51007,28.5161290323
51009,52.6733721546
51011,32.9827197596
51013,-49.4928296607
51015,-27.9980888677
51017,-28.2456140351
51019,12.4510571652
51515,None
51021,-17.9157744468
51023,-13.5135135135
51520,18.8144329897
51025,58.0119965724
51027,1.18606375093
51029,1.69779286927
51530,-21.6400911162
51031,9.38914027149
51033,0.0783085356304
51035,-37.5279642058
51036,-32.6923076923
51037,46.798679868
51540,16.7058823529
51550,-27.7561311025
51041,-10.0955546323
51043,49.7975708502
51560,-13.8483965015
51570,None
51580,None
51045,4.04255319149
51047,5.22341095028
51049,34.9618320611
51590,-32.733408324
51051,0.293568187884
51053,48.0031323414
51595,None
51057,24.4186046512
51059,-34.2077087794
51600,None
51610,None
51061,22.3332001598
51063,-54.7544409613
51065,15.503875969
51067,9.79351032448
51620,None
51069,6.24417520969
51630,-7.97831138652
51640,None
51071,-0.767459708365
51073,-2.2481265612
51075,15.0867823765
51077,-22.8552127899
51079,-24.0469208211
51081,24.0143369176
51083,43.0733107227
51650,-7.90155440415
51085,16.7955024596
51660,-25.4688445251
51087,-16.6254635352
51089,5.32003325021
51091,-25.3521126761
51670,-2.33029381966
51093,-2.20994475138
51095,-0.740740740741
51097,-6.51085141903
51099,-14.404432133
51101,13.4210526316
51103,-24.5508982036
51105,-16.6783216783
51678,None
51107,18.2098765432
51109,-2.52324037185
51111,58.4930601454
51680,-15.7515369939
51113,-14.201183432
51683,None
51685,None
51690,None
51115,-32.9704510109
51117,38.1703470032
51119,11.048951049
51121,-31.612446959
51125,32.6063249727
51127,-9.87341772152
51700,-22.8737997257
51710,-17.5350140056
51131,15.2187307455
51133,-44.4660194175
51720,None
51135,19.298245614
51137,7.22433460076
51139,-21.3051823417
51141,-14.8505303761
51730,20.541958042
51143,-21.2319178721
51735,None
51740,-14.6345487543
51145,20.5882352941
51147,17.1835708298
51149,29.1101055807
51153,0.547778454047
51155,-4.63472113119
51750,-16.8338907469
51157,21.8527315914
51159,-23.0566534914
51760,-2.64061010486
51161,-35.1351351351
51770,-23.386404805
51163,4.17163289631
51165,-46.3246554364
51167,11.1799867168
51775,None
51169,-10.6431417188
51171,-36.5542024356
51173,-17.3634812287
51780,None
51175,13.1367292225
51177,-19.67063129
51179,-28.7560581583
51790,-16.6571915861
51800,5.85516178737
51181,55.0143266476
51183,17.3819742489
51185,-21.6392793506
51810,-10.5794790005
51187,11.4599686028
51191,-12.8045789043
51820,None
51193,-17.0010559662
51830,51.9607843137
51840,-19.0621814475
51195,0.606863069624
51197,-25.2465483235
51199,-53.5885167464
