id,unemployment_rate
01001,-44.87723490154074
01003,-57.84603178866508
01005,-19.85981097092207
01007,-31.75215833393455
01009,-22.416396423589
01011,-43.64643664892655
01013,-40.38457833088419
01015,-39.32648464013779
01017,-32.21699553577284
01019,-14.23546242531347
01021,-17.55654393110585
01023,-5.576530997508101
01025,-28.7670689557482
01027,-23.37661498893441
01029,-15.71433597362391
01031,-5.582847376434557
01033,-18.27833984324029
01035,-25.7475924987329
01037,-18.76806387225548
01039,-21.55233991881185
01041,0.8737505154345939
01043,-5.430601678852504
01045,-21.69918187539332
01047,-79.71191906056184
01049,-18.34238258742432
01051,-23.97863116704485
01053,-13.66759603414307
01055,-34.09410089612734
01057,7.092613348717826
01059,-15.24540115792225
01061,-3.697183228496058
01063,-33.14995540335549
01065,-64.50301565760569
01067,-20.99944680066383
01069,-34.7194455740399
01071,-8.194065493751111
01073,-79.11805432841123
01075,-13.81103002018646
01077,-16.53971460577716
01079,-12.74696312588874
01081,-40.68733747762292
01083,-12.94991654974766
01085,-50.80937406409105
01087,-30.55663367964347
01089,-23.2758417166558
01091,-46.53279847913522
01093,-9.370072267186814
01095,-5.981677504118707
01097,-63.46752279008034
01099,-21.32508497259163
01101,-65.54875882665586
01103,-25.59392828666319
01105,-51.90910641966217
01107,-33.04334826860232
01109,-27.02426861557592
01111,-15.73885803536614
01113,-33.39383462978968
01117,-32.216195104371
01115,-40.37899675731959
01119,-49.79227956272433
01121,-56.23040614453395
01123,-14.16842056324728
01125,-40.06780147956619
01127,-2.766888876179308
01129,-20.92791806783448
01131,-56.57937394186089
01133,-1.12764010147459
